[10/7/25 02:26PM] Justin used command ::nm | Player rights = PLAYER	
[10/7/25 03:47PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 03:59PM] Justin used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 03:59PM] Justin used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 03:59PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:00PM] Justin used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 04:00PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:00PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:00PM] Justin used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 04:00PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:00PM] Justin used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 04:00PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:00PM] Justin used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 04:00PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:00PM] Justin used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 04:01PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:01PM] Justin used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 04:01PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:01PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:01PM] Justin used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 04:01PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:01PM] Justin used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 04:01PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:01PM] Justin used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 04:02PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:03PM] Justin used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 04:03PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:03PM] Justin used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 04:03PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:03PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:03PM] Justin used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 04:03PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:04PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:05PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:05PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:07PM] Justin used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 04:07PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:07PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:07PM] Justin used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 04:07PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:07PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:08PM] Justin used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 04:08PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:08PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:09PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:11PM] Justin used command ::deals | Player rights = RUBY_DONATOR	
[10/7/25 04:11PM] Justin used command ::voteed | Player rights = RUBY_DONATOR	
[10/7/25 04:11PM] Justin used command ::voted | Player rights = RUBY_DONATOR	
[10/7/25 04:14PM] Justin used command ::vboss | Player rights = RUBY_DONATOR	
[10/7/25 04:14PM] Justin used command ::donated | Player rights = RUBY_DONATOR	
[10/7/25 04:14PM] Justin used command ::claim | Player rights = RUBY_DONATOR	
[10/7/25 04:14PM] Justin used command ::claimdonations | Player rights = RUBY_DONATOR	
[10/7/25 04:16PM] Justin used command ::store | Player rights = RUBY_DONATOR	
[10/7/25 04:17PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:18PM] Justin used command ::naraku | Player rights = RUBY_DONATOR	
[10/7/25 04:19PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:26PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:29PM] Justin used command ::hellraiser | Player rights = RUBY_DONATOR	
[10/7/25 04:40PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:41PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:44PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:45PM] Justin used command ::dz | Player rights = RUBY_DONATOR	
[10/7/25 04:48PM] Justin used command ::afk | Player rights = RUBY_DONATOR	
[10/7/25 04:48PM] Justin used command ::afksho | Player rights = RUBY_DONATOR	
[10/7/25 04:48PM] Justin used command ::shops | Player rights = RUBY_DONATOR	
[10/7/25 04:54PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:54PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:54PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:55PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:58PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 04:59PM] Justin used command ::vboss | Player rights = RUBY_DONATOR	
[10/7/25 05:03PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 05:07PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 05:07PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 05:07PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 05:07PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 05:08PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 05:08PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 05:11PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 05:11PM] Justin used command ::vboss | Player rights = RUBY_DONATOR	
[10/7/25 05:11PM] Justin used command ::vboss | Player rights = RUBY_DONATOR	
[10/7/25 05:11PM] Justin used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 05:18PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 05:19PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 05:20PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 05:20PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 05:21PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 05:28PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 05:29PM] Justin used command ::upgrades | Player rights = RUBY_DONATOR	
[10/7/25 05:30PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 05:30PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 05:30PM] Justin used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 05:30PM] Justin used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 05:30PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 05:30PM] Justin used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 05:30PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 05:30PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 05:31PM] Justin used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 05:37PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 05:41PM] Justin used command ::dk | Player rights = RUBY_DONATOR	
[10/7/25 05:42PM] Justin used command ::naraku | Player rights = RUBY_DONATOR	
[10/7/25 05:44PM] Justin used command ::dk | Player rights = RUBY_DONATOR	
[10/7/25 05:48PM] Justin used command ::dk | Player rights = RUBY_DONATOR	
[10/7/25 05:52PM] Justin used command ::store | Player rights = RUBY_DONATOR	
[10/7/25 05:54PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 05:54PM] Justin used command ::dk | Player rights = RUBY_DONATOR	
[10/7/25 05:54PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 05:56PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 05:56PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 05:56PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 05:57PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:00PM] Justin used command ::nephilim | Player rights = RUBY_DONATOR	
[10/7/25 06:01PM] Justin used command ::sp | Player rights = RUBY_DONATOR	
[10/7/25 06:01PM] Justin used command ::bp | Player rights = RUBY_DONATOR	
[10/7/25 06:03PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:03PM] Justin used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 06:04PM] Justin used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 06:05PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:08PM] Justin used command ::vote | Player rights = RUBY_DONATOR	
[10/7/25 06:11PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:14PM] Justin used command ::home | Player rights = RUBY_DONATOR	
[10/7/25 06:14PM] Justin used command ::nephilim | Player rights = RUBY_DONATOR	
[10/7/25 06:16PM] Justin used command ::dk | Player rights = RUBY_DONATOR	
[10/7/25 06:16PM] Justin used command ::nephilim | Player rights = RUBY_DONATOR	
[10/7/25 06:20PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:23PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:28PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:29PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:29PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:29PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:37PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:37PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:37PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:38PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:38PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:40PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:40PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:40PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:41PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:44PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:45PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:46PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:46PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:46PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:47PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:48PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:49PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:49PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:52PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:52PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:52PM] Justin used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/7/25 06:52PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:53PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:54PM] Justin used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/7/25 06:54PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:55PM] Justin used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/7/25 06:55PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:55PM] Justin used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/7/25 06:55PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:56PM] Justin used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/7/25 06:57PM] Justin used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 06:59PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:59PM] Justin used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/7/25 07:00PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:00PM] Justin used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/7/25 07:00PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:02PM] Justin used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/7/25 07:02PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:03PM] Justin used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/7/25 07:03PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:09PM] Justin used command ::nephilim | Player rights = RUBY_DONATOR	
[10/7/25 07:12PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:12PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:12PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:12PM] Justin used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 07:13PM] Justin used command ::dropparty | Player rights = RUBY_DONATOR	
[10/7/25 07:14PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:14PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:16PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:16PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:16PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:24PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:24PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:31PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:31PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:31PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:32PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:33PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:33PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:33PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:33PM] Justin used command ::ref | Player rights = RUBY_DONATOR	
[10/7/25 07:34PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:34PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:35PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:35PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:35PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:36PM] Justin used command ::afk | Player rights = RUBY_DONATOR	
[10/8/25 04:15AM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:32AM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:35AM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:41AM] Justin used command ::shops | Player rights = RUBY_DONATOR	
[10/8/25 08:47AM] Justin used command ::shops | Player rights = RUBY_DONATOR	
[10/8/25 08:51AM] Justin used command ::daily | Player rights = RUBY_DONATOR	
[10/8/25 08:54AM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:55AM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:55AM] Justin used command ::empty | Player rights = RUBY_DONATOR	
[10/8/25 08:55AM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:55AM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:55AM] Justin used command ::store | Player rights = RUBY_DONATOR	
[10/8/25 09:00AM] Justin used command ::shops | Player rights = RUBY_DONATOR	
[10/8/25 09:07AM] Justin used command ::vozzath | Player rights = RUBY_DONATOR	
[10/8/25 09:08AM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:10AM] Justin used command ::eventboss | Player rights = RUBY_DONATOR	
[10/8/25 09:13AM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:19AM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:20AM] Justin used command ::upgrade | Player rights = RUBY_DONATOR	
[10/8/25 09:21AM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:22AM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:23AM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:23AM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:23AM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:23AM] Justin used command ::afk | Player rights = RUBY_DONATOR	
[10/8/25 09:23AM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:43AM] Justin used command ::vote | Player rights = RUBY_DONATOR	
[10/8/25 09:43AM] Justin used command ::voted | Player rights = RUBY_DONATOR	
[10/8/25 09:47AM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:48AM] Justin used command ::sit | Player rights = RUBY_DONATOR	
[10/9/25 01:42PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/9/25 01:42PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/9/25 01:42PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/9/25 01:50PM] Justin used command ::store | Player rights = RUBY_DONATOR	
[10/9/25 02:01PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/9/25 02:03PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/9/25 02:03PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/9/25 02:04PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/9/25 02:17PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/9/25 02:31PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/9/25 02:36PM] Justin used command ::vboss | Player rights = RUBY_DONATOR	
[10/9/25 02:37PM] Justin used command ::daily | Player rights = RUBY_DONATOR	
[10/9/25 02:41PM] Justin used command ::dropparty | Player rights = RUBY_DONATOR	
[10/9/25 02:41PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/9/25 02:41PM] Justin used command ::nephilin | Player rights = RUBY_DONATOR	
[10/9/25 02:42PM] Justin used command ::nephilin | Player rights = RUBY_DONATOR	
[10/9/25 02:43PM] Justin used command ::dropparty | Player rights = RUBY_DONATOR	
[10/9/25 02:43PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/9/25 02:57PM] Justin used command ::platinum | Player rights = RUBY_DONATOR	
[10/9/25 03:02PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/9/25 03:02PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/9/25 03:05PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/9/25 03:17PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/9/25 03:23PM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 08:45AM] Justin used command ::vote | Player rights = RUBY_DONATOR	
[10/10/25 08:46AM] Justin used command ::voted | Player rights = RUBY_DONATOR	
[10/10/25 08:46AM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 08:49AM] Justin used command ::voted | Player rights = RUBY_DONATOR	
[10/10/25 08:51AM] Justin used command ::afk | Player rights = RUBY_DONATOR	
[10/10/25 08:51AM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 08:51AM] Justin used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 09:40AM] Justin used command ::vboss | Player rights = RUBY_DONATOR	
[10/10/25 09:40AM] Justin used command ::vboss | Player rights = RUBY_DONATOR	
[10/12/25 10:08AM] Justin used command ::daily | Player rights = RUBY_DONATOR	
[10/12/25 10:08AM] Justin used command ::dropparty | Player rights = RUBY_DONATOR	
[10/12/25 10:08AM] Justin used command ::vote | Player rights = RUBY_DONATOR	
[10/12/25 10:09AM] Justin used command ::voted | Player rights = RUBY_DONATOR	
