[10/7/25 12:24AM] Ghijf used command ::dr | Player rights = PLAYER	
[10/7/25 01:44PM] Ghijf used command ::dr | Player rights = PLAYER	
[10/7/25 01:45PM] Ghijf used command ::train | Player rights = PLAYER	
[10/7/25 01:56PM] Ghijf used command ::claim | Player rights = PLAYER	
[10/7/25 01:56PM] Ghijf used command ::voted | Player rights = PLAYER	
[10/7/25 01:57PM] Ghijf used command ::shops | Player rights = PLAYER	
[10/7/25 02:02PM] Ghijf used command ::yell test | Player rights = EMERALD_DONATOR	
[10/7/25 02:02PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:02PM] Ghijf used command ::emerald | Player rights = EMERALD_DONATOR	
[10/7/25 02:02PM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/7/25 02:04PM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/7/25 02:07PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:07PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:08PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:08PM] Ghijf used command ::train | Player rights = EMERALD_DONATOR	
[10/7/25 02:08PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:08PM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/7/25 02:08PM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/7/25 02:09PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:09PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:09PM] Ghijf used command ::home | Player rights = EMERALD_DONATOR	
[10/7/25 02:10PM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/7/25 02:10PM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/7/25 02:10PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:11PM] Ghijf used command ::emerald | Player rights = EMERALD_DONATOR	
[10/7/25 02:11PM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/7/25 02:13PM] Ghijf used command ::train | Player rights = EMERALD_DONATOR	
[10/7/25 02:13PM] Ghijf used command ::dzone | Player rights = EMERALD_DONATOR	
[10/7/25 02:13PM] Ghijf used command ::dz | Player rights = EMERALD_DONATOR	
[10/7/25 02:13PM] Ghijf used command ::di | Player rights = EMERALD_DONATOR	
[10/7/25 02:13PM] Ghijf used command ::emerald | Player rights = EMERALD_DONATOR	
[10/7/25 02:14PM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/7/25 02:15PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:15PM] Ghijf used command ::teleport | Player rights = EMERALD_DONATOR	
[10/7/25 02:16PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:17PM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/7/25 02:17PM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/7/25 02:17PM] Ghijf used command ::max | Player rights = EMERALD_DONATOR	
[10/7/25 02:17PM] Ghijf used command ::maxhit | Player rights = EMERALD_DONATOR	
[10/7/25 02:18PM] Ghijf used command ::answerc 7 | Player rights = EMERALD_DONATOR	
[10/7/25 02:19PM] Ghijf used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 02:19PM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/7/25 02:19PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:20PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:20PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:22PM] Ghijf used command ::seasonpass | Player rights = EMERALD_DONATOR	
[10/7/25 02:22PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:22PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:23PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:23PM] Ghijf used command ::afkboss | Player rights = EMERALD_DONATOR	
[10/7/25 02:23PM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/7/25 02:24PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:25PM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/7/25 02:26PM] Ghijf used command ::nm | Player rights = EMERALD_DONATOR	
[10/7/25 02:26PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:26PM] Ghijf used command ::maxhit | Player rights = EMERALD_DONATOR	
[10/7/25 02:26PM] Ghijf used command ::maxhit | Player rights = EMERALD_DONATOR	
[10/7/25 02:41PM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/7/25 02:48PM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/7/25 02:51PM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/7/25 02:51PM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/7/25 02:51PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:51PM] Ghijf used command ::train | Player rights = EMERALD_DONATOR	
[10/7/25 02:51PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:52PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:53PM] Ghijf used command ::maxhit | Player rights = EMERALD_DONATOR	
[10/7/25 02:54PM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/7/25 02:54PM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/7/25 02:54PM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/7/25 02:54PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:55PM] Ghijf used command ::shops | Player rights = EMERALD_DONATOR	
[10/7/25 02:59PM] Ghijf used command ::zones | Player rights = EMERALD_DONATOR	
[10/7/25 02:59PM] Ghijf used command ::bork | Player rights = EMERALD_DONATOR	
[10/7/25 03:01PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 03:03PM] Ghijf used command ::seasonpass | Player rights = EMERALD_DONATOR	
[10/7/25 03:07PM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/7/25 03:07PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 03:08PM] Ghijf used command ::auth  | Player rights = EMERALD_DONATOR	
[10/7/25 03:08PM] Ghijf used command ::sp | Player rights = EMERALD_DONATOR	
[10/7/25 03:08PM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/7/25 03:08PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 03:08PM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/7/25 03:08PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 03:09PM] Ghijf used command ::emerald | Player rights = EMERALD_DONATOR	
[10/7/25 03:11PM] Ghijf used command ::saphire | Player rights = EMERALD_DONATOR	
[10/7/25 03:11PM] Ghijf used command ::ruby | Player rights = EMERALD_DONATOR	
[10/7/25 03:11PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 03:15PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 03:18PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 03:18PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 03:20PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 03:20PM] Ghijf used command ::pos | Player rights = EMERALD_DONATOR	
[10/7/25 03:23PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 03:25PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 03:25PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 03:25PM] Ghijf used command ::ironman | Player rights = EMERALD_DONATOR	
[10/7/25 03:26PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 03:26PM] Ghijf used command ::dk | Player rights = EMERALD_DONATOR	
[10/7/25 03:26PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 03:27PM] Ghijf used command ::naraku | Player rights = EMERALD_DONATOR	
[10/7/25 03:29PM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/7/25 03:30PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 03:30PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 03:48PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 03:51PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 03:55PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 03:55PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 03:56PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 03:56PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 03:56PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 03:58PM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/7/25 03:59PM] Ghijf used command ::saphire | Player rights = EMERALD_DONATOR	
[10/7/25 03:59PM] Ghijf used command ::vote | Player rights = EMERALD_DONATOR	
[10/7/25 04:01PM] Ghijf used command ::collectionlog | Player rights = EMERALD_DONATOR	
[10/7/25 04:01PM] Ghijf used command ::sp | Player rights = EMERALD_DONATOR	
[10/7/25 04:01PM] Ghijf used command ::sp | Player rights = EMERALD_DONATOR	
[10/7/25 04:01PM] Ghijf used command ::bp | Player rights = EMERALD_DONATOR	
[10/7/25 04:01PM] Ghijf used command ::seasonpass | Player rights = EMERALD_DONATOR	
[10/7/25 04:05PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 04:40PM] Ghijf used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/7/25 04:40PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 04:53PM] Ghijf used command ::npckills | Player rights = EMERALD_DONATOR	
[10/7/25 04:53PM] Ghijf used command ::kills | Player rights = EMERALD_DONATOR	
[10/7/25 04:59PM] Ghijf used command ::god | Player rights = EMERALD_DONATOR	
[10/7/25 04:59PM] Ghijf used command ::godmode | Player rights = EMERALD_DONATOR	
[10/7/25 04:59PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 05:00PM] Ghijf used command ::vboss | Player rights = EMERALD_DONATOR	
[10/7/25 05:00PM] Ghijf used command ::maxhit | Player rights = EMERALD_DONATOR	
[10/7/25 05:03PM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/7/25 05:06PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 05:07PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 05:07PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 05:07PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 05:08PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 05:09PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 05:10PM] Ghijf used command ::donate | Player rights = EMERALD_DONATOR	
[10/7/25 06:05PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:05PM] Ghijf used command ::home | Player rights = EMERALD_DONATOR	
[10/7/25 06:06PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:06PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:06PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:06PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:06PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:06PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:07PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:07PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:07PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:07PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:07PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:08PM] Ghijf used command ::shops | Player rights = EMERALD_DONATOR	
[10/7/25 06:08PM] Ghijf used command ::seasonpass | Player rights = EMERALD_DONATOR	
[10/7/25 06:09PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:10PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:11PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:11PM] Ghijf used command ::nepilm | Player rights = EMERALD_DONATOR	
[10/7/25 06:11PM] Ghijf used command ::nepilm | Player rights = EMERALD_DONATOR	
[10/7/25 06:12PM] Ghijf used command ::nephilm | Player rights = EMERALD_DONATOR	
[10/7/25 06:12PM] Ghijf used command ::nephilim | Player rights = EMERALD_DONATOR	
[10/7/25 06:17PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:18PM] Ghijf used command ::afk | Player rights = EMERALD_DONATOR	
[10/7/25 06:19PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:19PM] Ghijf used command ::shops | Player rights = EMERALD_DONATOR	
[10/7/25 06:19PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:19PM] Ghijf used command ::afk | Player rights = EMERALD_DONATOR	
[10/7/25 06:20PM] Ghijf used command ::shops | Player rights = EMERALD_DONATOR	
[10/7/25 06:20PM] Ghijf used command ::afk | Player rights = EMERALD_DONATOR	
[10/7/25 06:21PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:21PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 10:40PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 10:40PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:05PM] Ghijf used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/7/25 11:05PM] Ghijf used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/7/25 11:05PM] Ghijf used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/7/25 11:06PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:08PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:08PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:08PM] Ghijf used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/7/25 11:08PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:10PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:10PM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/7/25 11:10PM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/7/25 11:10PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:11PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:13PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:13PM] Ghijf used command ::emerald | Player rights = EMERALD_DONATOR	
[10/7/25 11:14PM] Ghijf used command ::seasonpass | Player rights = EMERALD_DONATOR	
[10/7/25 11:15PM] Ghijf used command ::help | Player rights = EMERALD_DONATOR	
[10/7/25 11:16PM] Ghijf used command ::claim | Player rights = EMERALD_DONATOR	
[10/7/25 11:16PM] Ghijf used command ::reward | Player rights = EMERALD_DONATOR	
[10/7/25 11:16PM] Ghijf used command ::donated | Player rights = EMERALD_DONATOR	
[10/7/25 11:17PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:17PM] Ghijf used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/7/25 11:17PM] Ghijf used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/7/25 11:18PM] Ghijf used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/7/25 11:18PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:18PM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/7/25 11:19PM] Ghijf used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/7/25 11:20PM] Ghijf used command ::maxhit | Player rights = EMERALD_DONATOR	
[10/7/25 11:24PM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/7/25 11:25PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:26PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:26PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:27PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:27PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:28PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:28PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:28PM] Ghijf used command ::afk | Player rights = EMERALD_DONATOR	
[10/7/25 11:28PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:29PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:29PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:29PM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:06AM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:06AM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:07AM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:07AM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:08AM] Ghijf used command ::hom | Player rights = EMERALD_DONATOR	
[10/8/25 12:08AM] Ghijf used command ::seasonpass | Player rights = EMERALD_DONATOR	
[10/8/25 12:08AM] Ghijf used command ::home | Player rights = EMERALD_DONATOR	
[10/8/25 12:10AM] Ghijf used command ::vote | Player rights = EMERALD_DONATOR	
[10/8/25 12:20AM] Ghijf used command ::seasonpass | Player rights = EMERALD_DONATOR	
[10/8/25 12:29AM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:32AM] Ghijf used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/8/25 12:32AM] Ghijf used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/8/25 12:33AM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:34AM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:34AM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/8/25 12:34AM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:35AM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:35AM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:35AM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:41AM] Ghijf used command ::collectionlog | Player rights = EMERALD_DONATOR	
[10/8/25 12:41AM] Ghijf used command ::collectionlog | Player rights = EMERALD_DONATOR	
[10/8/25 12:44AM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:44AM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:45AM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:47AM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:48AM] Ghijf used command ::seasonpass | Player rights = EMERALD_DONATOR	
[10/8/25 12:50AM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 01:01AM] Ghijf used command ::zones | Player rights = EMERALD_DONATOR	
[10/8/25 01:01AM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/8/25 01:02AM] Ghijf used command ::dr | Player rights = EMERALD_DONATOR	
[10/8/25 01:02AM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 01:03AM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 01:08AM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 01:20AM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 01:20AM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 01:21AM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 01:21AM] Ghijf used command ::afk | Player rights = EMERALD_DONATOR	
[10/8/25 01:26AM] Ghijf used command ::platinum | Player rights = EMERALD_DONATOR	
[10/8/25 01:26AM] Ghijf used command ::platinum | Player rights = EMERALD_DONATOR	
[10/8/25 01:30AM] Ghijf used command ::bank | Player rights = EMERALD_DONATOR	
