[10/6/25 11:48PM] Delicious used command ::vote | Player rights = PLAYER	
[10/7/25 12:52AM] Delicious used command ::dissolveal | Player rights = PLAYER	
[10/7/25 12:52AM] Delicious used command ::dissolveall | Player rights = PLAYER	
[10/7/25 12:53AM] Delicious used command ::dissolveall | Player rights = PLAYER	
[10/7/25 12:53AM] Delicious used command ::dissolveall | Player rights = PLAYER	
[10/7/25 12:59AM] Delicious used command :::train | Player rights = PLAYER	
[10/7/25 12:59AM] Delicious used command ::train | Player rights = PLAYER	
[10/7/25 01:08AM] Delicious used command ::dissolveall | Player rights = PLAYER	
[10/7/25 01:08AM] Delicious used command ::dissolveall | Player rights = PLAYER	
[10/7/25 01:08AM] Delicious used command ::train | Player rights = PLAYER	
[10/7/25 01:25AM] Delicious used command ::train | Player rights = PLAYER	
[10/7/25 01:40AM] Delicious used command ::train | Player rights = PLAYER	
[10/7/25 01:52AM] Delicious used command ::daily | Player rights = PLAYER	
[10/7/25 04:25AM] Delicious used command ::train | Player rights = PLAYER	
[10/7/25 04:26AM] Delicious used command ::vote | Player rights = PLAYER	
[10/7/25 04:32AM] Delicious used command ::train | Player rights = PLAYER	
[10/7/25 04:37AM] Delicious used command ::startertasks | Player rights = PLAYER	
[10/7/25 04:41AM] Delicious used command ::startertasks | Player rights = PLAYER	
[10/7/25 04:42AM] Delicious used command ::dk | Player rights = PLAYER	
[10/7/25 04:43AM] Delicious used command ::naraku | Player rights = PLAYER	
[10/7/25 04:45AM] Delicious used command ::nm | Player rights = PLAYER	
[10/7/25 05:39AM] Delicious used command ::startertasks | Player rights = PLAYER	
[10/7/25 05:39AM] Delicious used command ::voteboss | Player rights = PLAYER	
[10/7/25 05:40AM] Delicious used command ::vote | Player rights = PLAYER	
[10/7/25 05:40AM] Delicious used command ::train | Player rights = PLAYER	
[10/7/25 05:45AM] Delicious used command ::melee | Player rights = PLAYER	
[10/7/25 05:46AM] Delicious used command ::melee | Player rights = PLAYER	
[10/7/25 05:46AM] Delicious used command ::shops | Player rights = PLAYER	
[10/7/25 05:47AM] Delicious used command ::bank | Player rights = PLAYER	
[10/7/25 05:47AM] Delicious used command ::bank | Player rights = PLAYER	
[10/7/25 05:48AM] Delicious used command ::daily | Player rights = PLAYER	
[10/7/25 05:48AM] Delicious used command ::daily | Player rights = PLAYER	
[10/7/25 06:32AM] Delicious used command ::vboss | Player rights = PLAYER	
[10/7/25 06:34AM] Delicious used command ::startertasks | Player rights = PLAYER	
[10/7/25 06:35AM] Delicious used command ::vboss | Player rights = PLAYER	
[10/7/25 06:35AM] Delicious used command ::vboss | Player rights = PLAYER	
[10/7/25 06:48AM] Delicious used command ::afk | Player rights = SAPPHIRE_DONATOR	
[10/7/25 06:48AM] Delicious used command ::bank | Player rights = SAPPHIRE_DONATOR	
[10/7/25 06:48AM] Delicious used command ::bank | Player rights = SAPPHIRE_DONATOR	
[10/7/25 07:39AM] Delicious used command ::afk | Player rights = SAPPHIRE_DONATOR	
[10/7/25 07:48AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:50AM] Delicious used command ::dk | Player rights = EMERALD_DONATOR	
[10/7/25 07:52AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:52AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:52AM] Delicious used command ::dk | Player rights = EMERALD_DONATOR	
[10/7/25 07:56AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:56AM] Delicious used command ::naraku | Player rights = EMERALD_DONATOR	
[10/7/25 07:58AM] Delicious used command ::deals | Player rights = EMERALD_DONATOR	
[10/7/25 07:59AM] Delicious used command ::dk | Player rights = EMERALD_DONATOR	
[10/7/25 08:01AM] Delicious used command ::daily | Player rights = EMERALD_DONATOR	
[10/7/25 08:01AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:02AM] Delicious used command ::shops | Player rights = EMERALD_DONATOR	
[10/7/25 08:03AM] Delicious used command ::collectionlog | Player rights = EMERALD_DONATOR	
[10/7/25 08:03AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:04AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 08:04AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:04AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:05AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:06AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:06AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 08:06AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:08AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:08AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 08:08AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:16AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:17AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:18AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:20AM] Delicious used command ::startertasks | Player rights = EMERALD_DONATOR	
[10/7/25 08:20AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:56AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:56AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:57AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:57AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:58AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:58AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:58AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 09:03AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:18AM] Delicious used command ::hellsaier | Player rights = EMERALD_DONATOR	
[10/7/25 09:18AM] Delicious used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/7/25 09:20AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:28AM] Delicious used command ::collectionlog | Player rights = EMERALD_DONATOR	
[10/7/25 09:28AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:29AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:30AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:30AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 10:16AM] Delicious used command ::ref walkchaos | Player rights = EMERALD_DONATOR	
[10/7/25 10:17AM] Delicious used command ::startertasks | Player rights = EMERALD_DONATOR	
[10/7/25 10:17AM] Delicious used command ::daily | Player rights = EMERALD_DONATOR	
[10/7/25 10:33AM] Delicious used command ::vboss | Player rights = EMERALD_DONATOR	
[10/7/25 10:35AM] Delicious used command ::answer 25 | Player rights = EMERALD_DONATOR	
[10/7/25 10:36AM] Delicious used command ::daily | Player rights = EMERALD_DONATOR	
[10/7/25 10:37AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 10:53AM] Delicious used command ::daily | Player rights = EMERALD_DONATOR	
[10/7/25 10:54AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 10:55AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 10:56AM] Delicious used command ::answer 5 | Player rights = EMERALD_DONATOR	
[10/7/25 10:56AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 10:56AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 10:56AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 10:56AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:01AM] Delicious used command ::daily | Player rights = EMERALD_DONATOR	
[10/7/25 11:02AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:06AM] Delicious used command ::startertasks | Player rights = EMERALD_DONATOR	
[10/7/25 11:08AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:09AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:12AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:13AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:15AM] Delicious used command ::startertasks | Player rights = EMERALD_DONATOR	
[10/7/25 11:16AM] Delicious used command ::daily | Player rights = EMERALD_DONATOR	
[10/7/25 11:24AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:24AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 11:25AM] Delicious used command ::dk | Player rights = EMERALD_DONATOR	
[10/7/25 11:33AM] Delicious used command ::checkstats | Player rights = EMERALD_DONATOR	
[10/7/25 11:34AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:34AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:35AM] Delicious used command ::collectionlog | Player rights = EMERALD_DONATOR	
[10/7/25 11:36AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:37AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:37AM] Delicious used command ::collectionlog | Player rights = EMERALD_DONATOR	
[10/7/25 11:38AM] Delicious used command ::collectionlog | Player rights = EMERALD_DONATOR	
[10/7/25 11:38AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:38AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 11:39AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:39AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 11:40AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:40AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:41AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:41AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:41AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:43AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:44AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 11:44AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:45AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:46AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:46AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:46AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:46AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:47AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:47AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:47AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:48AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:48AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:49AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:49AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:49AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:50AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:10PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 12:12PM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:12PM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:12PM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:27PM] Delicious used command ::naraku | Player rights = EMERALD_DONATOR	
[10/7/25 12:46PM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:51PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 12:51PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 12:52PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 12:52PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 12:52PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 12:52PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 12:52PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 12:53PM] Delicious used command ::seasonpass | Player rights = EMERALD_DONATOR	
[10/7/25 12:53PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 12:53PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 12:53PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 12:53PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 12:53PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 12:53PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 12:53PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 12:54PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 12:54PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 12:54PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 12:54PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 12:54PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 12:54PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 12:55PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 12:55PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 12:55PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 12:58PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 12:59PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 01:00PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 01:01PM] Delicious used command ::shops | Player rights = EMERALD_DONATOR	
[10/7/25 01:02PM] Delicious used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 01:07PM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:07PM] Delicious used command ::vboss | Player rights = EMERALD_DONATOR	
[10/8/25 08:17AM] Delicious used command ::vote | Player rights = EMERALD_DONATOR	
[10/8/25 08:18AM] Delicious used command ::claim | Player rights = EMERALD_DONATOR	
[10/8/25 08:18AM] Delicious used command ::voted | Player rights = EMERALD_DONATOR	
[10/8/25 08:20AM] Delicious used command ::afk | Player rights = EMERALD_DONATOR	
[10/8/25 08:20AM] Delicious used command ::dk | Player rights = EMERALD_DONATOR	
[10/8/25 08:22AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 08:22AM] Delicious used command ::daily | Player rights = EMERALD_DONATOR	
[10/8/25 08:22AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 08:23AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 08:23AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 08:24AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 08:25AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 08:25AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 08:25AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 08:26AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/8/25 08:26AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/8/25 08:26AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 08:26AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 08:26AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/8/25 08:27AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/8/25 08:27AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/8/25 08:27AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/8/25 08:27AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/8/25 08:27AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/8/25 08:27AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/8/25 08:28AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/8/25 08:28AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/8/25 08:30AM] Delicious used command ::daily | Player rights = EMERALD_DONATOR	
[10/8/25 08:31AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 08:31AM] Delicious used command ::daily | Player rights = EMERALD_DONATOR	
[10/8/25 10:52AM] Delicious used command ::afk | Player rights = EMERALD_DONATOR	
[10/8/25 10:53AM] Delicious used command ::vote | Player rights = EMERALD_DONATOR	
[10/8/25 10:53AM] Delicious used command ::voted | Player rights = EMERALD_DONATOR	
[10/8/25 10:53AM] Delicious used command ::claim | Player rights = EMERALD_DONATOR	
[10/8/25 10:55AM] Delicious used command ::daily | Player rights = EMERALD_DONATOR	
[10/8/25 10:56AM] Delicious used command ::well | Player rights = EMERALD_DONATOR	
[10/8/25 10:57AM] Delicious used command ::wells | Player rights = EMERALD_DONATOR	
[10/8/25 10:57AM] Delicious used command ::customwell | Player rights = EMERALD_DONATOR	
[10/8/25 10:57AM] Delicious used command ::commands | Player rights = EMERALD_DONATOR	
[10/8/25 10:57AM] Delicious used command ::perks | Player rights = EMERALD_DONATOR	
[10/8/25 10:58AM] Delicious used command ::daily | Player rights = EMERALD_DONATOR	
[10/8/25 10:58AM] Delicious used command ::daily | Player rights = EMERALD_DONATOR	
[10/8/25 11:01AM] Delicious used command ::startertasks | Player rights = EMERALD_DONATOR	
[10/8/25 11:03AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:03AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:39AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:41AM] Delicious used command ::collectionlog | Player rights = EMERALD_DONATOR	
[10/8/25 11:41AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:42AM] Delicious used command ::collectionlog | Player rights = EMERALD_DONATOR	
[10/8/25 11:43AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:43AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:44AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/8/25 11:44AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:44AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/8/25 11:45AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:45AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:45AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/8/25 11:45AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:46AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/8/25 11:46AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:46AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/8/25 11:46AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:50AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:50AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:55AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:56AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/8/25 11:56AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:56AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/8/25 11:56AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/8/25 11:56AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:56AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/8/25 11:56AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:56AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/8/25 11:57AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:57AM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:57AM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/8/25 12:00PM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:01PM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:02PM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:04PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/8/25 12:05PM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:10PM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:10PM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:11PM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:12PM] Delicious used command ::startertasks | Player rights = EMERALD_DONATOR	
[10/8/25 12:12PM] Delicious used command ::startertasks | Player rights = EMERALD_DONATOR	
[10/8/25 12:13PM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:13PM] Delicious used command ::perks | Player rights = EMERALD_DONATOR	
[10/8/25 12:17PM] Delicious used command ::voted | Player rights = EMERALD_DONATOR	
[10/8/25 12:17PM] Delicious used command ::claim | Player rights = EMERALD_DONATOR	
[10/8/25 12:17PM] Delicious used command ::claimvote | Player rights = EMERALD_DONATOR	
[10/8/25 12:17PM] Delicious used command ::reward 1 all | Player rights = EMERALD_DONATOR	
[10/8/25 12:26PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/8/25 12:50PM] Delicious used command ::dustclaw | Player rights = EMERALD_DONATOR	
[10/8/25 12:51PM] Delicious used command ::zones | Player rights = EMERALD_DONATOR	
[10/8/25 12:54PM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:54PM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:55PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/8/25 12:56PM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:57PM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 01:00PM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 01:06PM] Delicious used command ::prestige | Player rights = EMERALD_DONATOR	
[10/8/25 01:06PM] Delicious used command ::prestige | Player rights = EMERALD_DONATOR	
[10/8/25 01:06PM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 01:07PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/8/25 01:08PM] Delicious used command ::perks | Player rights = EMERALD_DONATOR	
[10/8/25 01:09PM] Delicious used command ::emerald | Player rights = EMERALD_DONATOR	
[10/8/25 01:09PM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 01:09PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/8/25 01:09PM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 01:09PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/8/25 01:09PM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 01:09PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/8/25 01:09PM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 01:09PM] Delicious used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/8/25 01:09PM] Delicious used command ::bank | Player rights = EMERALD_DONATOR	
