[10/9/25 08:31PM] Kursed used command ::claimvote | Player rights = PLAYER	
[10/10/25 07:44PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 07:44PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 07:45PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 07:45PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 08:07PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 10:55PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 10:58PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 11:09PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 11:10PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 11:14PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 11:15PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 11:39PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/11/25 02:39AM] Kursed used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/11/25 02:54AM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/11/25 03:52AM] Kursed used command ::maxhit | Player rights = RUBY_DONATOR	
[10/11/25 05:07AM] Kursed used command ::vboss | Player rights = RUBY_DONATOR	
[10/11/25 05:18AM] Kursed used command ::claimall | Player rights = RUBY_DONATOR	
[10/11/25 05:21AM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/11/25 04:38PM] Kursed used command ::vboss | Player rights = RUBY_DONATOR	
[10/11/25 04:51PM] Kursed used command ::perks | Player rights = RUBY_DONATOR	
[10/13/25 06:10PM] Kursed used command ::vboss | Player rights = RUBY_DONATOR	
[10/13/25 06:19PM] Kursed used command ::nephilim | Player rights = RUBY_DONATOR	
[10/13/25 06:25PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/13/25 06:25PM] Kursed used command ::vozzath | Player rights = RUBY_DONATOR	
[10/13/25 06:30PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/13/25 06:34PM] Kursed used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/13/25 06:37PM] Kursed used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/13/25 06:41PM] Kursed used command ::slayerboss | Player rights = RUBY_DONATOR	
[10/13/25 06:48PM] Kursed used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/13/25 06:48PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/13/25 06:49PM] Kursed used command ::nephilim | Player rights = RUBY_DONATOR	
[10/13/25 06:53PM] Kursed used command ::vboss | Player rights = RUBY_DONATOR	
[10/13/25 06:55PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/13/25 06:56PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/13/25 06:57PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/13/25 06:57PM] Kursed used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/13/25 06:58PM] Kursed used command ::nephilim | Player rights = RUBY_DONATOR	
[10/13/25 06:58PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/13/25 07:06PM] Kursed used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/13/25 07:08PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/13/25 07:09PM] Kursed used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/13/25 07:11PM] Kursed used command ::vboss | Player rights = RUBY_DONATOR	
[10/13/25 07:12PM] Kursed used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/13/25 07:13PM] Kursed used command ::slayerboss | Player rights = RUBY_DONATOR	
[10/13/25 07:17PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/13/25 08:01PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/13/25 08:01PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/13/25 08:01PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/13/25 08:01PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/13/25 08:02PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/13/25 08:18PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/13/25 08:18PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/13/25 08:18PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/13/25 08:30PM] Kursed used command ::bank | Player rights = DIAMOND_DONATOR	
[10/13/25 08:49PM] Kursed used command ::ranks | Player rights = DIAMOND_DONATOR	
[10/13/25 08:55PM] Kursed used command ::bank | Player rights = DIAMOND_DONATOR	
[10/13/25 08:59PM] Kursed used command ::bank | Player rights = DIAMOND_DONATOR	
[10/13/25 09:01PM] Kursed used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/13/25 09:01PM] Kursed used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/13/25 09:01PM] Kursed used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/13/25 09:01PM] Kursed used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/13/25 09:02PM] Kursed used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/13/25 09:02PM] Kursed used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/13/25 09:02PM] Kursed used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/13/25 09:02PM] Kursed used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/13/25 09:02PM] Kursed used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/13/25 09:02PM] Kursed used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/13/25 09:02PM] Kursed used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/13/25 09:02PM] Kursed used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/13/25 09:02PM] Kursed used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/13/25 09:02PM] Kursed used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/13/25 09:03PM] Kursed used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/13/25 09:03PM] Kursed used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/13/25 09:03PM] Kursed used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/13/25 09:04PM] Kursed used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/13/25 09:04PM] Kursed used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/13/25 09:04PM] Kursed used command ::bank | Player rights = DIAMOND_DONATOR	
[10/13/25 09:05PM] Kursed used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/13/25 09:05PM] Kursed used command ::bank | Player rights = DIAMOND_DONATOR	
[10/13/25 10:04PM] Kursed used command ::bank | Player rights = DIAMOND_DONATOR	
[10/13/25 10:22PM] Kursed used command ::bank | Player rights = DIAMOND_DONATOR	
[10/13/25 11:23PM] Kursed used command ::bank | Player rights = DIAMOND_DONATOR	
[10/14/25 01:37AM] Kursed used command ::voted | Player rights = DIAMOND_DONATOR	
[10/14/25 02:07AM] Kursed used command ::daily | Player rights = DIAMOND_DONATOR	
[10/14/25 02:08AM] Kursed used command ::bank | Player rights = DIAMOND_DONATOR	
[10/14/25 02:09AM] Kursed used command ::bank | Player rights = DIAMOND_DONATOR	
[10/14/25 02:09AM] Kursed used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/14/25 02:09AM] Kursed used command ::bank | Player rights = DIAMOND_DONATOR	
[10/14/25 02:23AM] Kursed used command ::afk | Player rights = DIAMOND_DONATOR	
[10/14/25 02:25AM] Kursed used command ::bank | Player rights = DIAMOND_DONATOR	
[10/14/25 02:25AM] Kursed used command ::afk | Player rights = DIAMOND_DONATOR	
[10/14/25 07:10PM] Kursed used command ::hellraiser | Player rights = DIAMOND_DONATOR	
[10/14/25 07:26PM] Kursed used command ::hellraiser | Player rights = DIAMOND_DONATOR	
[10/14/25 07:29PM] Kursed used command ::hellraiser | Player rights = DIAMOND_DONATOR	
[10/14/25 07:30PM] Kursed used command ::hellraiser | Player rights = DIAMOND_DONATOR	
[10/14/25 08:29PM] Kursed used command ::bank | Player rights = DIAMOND_DONATOR	
[10/14/25 08:41PM] Kursed used command ::answer omv2mf029fm290f2 | Player rights = DIAMOND_DONATOR	
[10/14/25 08:56PM] Kursed used command ::bank | Player rights = DIAMOND_DONATOR	
[10/14/25 09:03PM] Kursed used command ::bank | Player rights = DIAMOND_DONATOR	
[10/14/25 09:04PM] Kursed used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/14/25 09:05PM] Kursed used command ::bank | Player rights = DIAMOND_DONATOR	
[10/14/25 09:05PM] Kursed used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/14/25 09:06PM] Kursed used command ::bank | Player rights = DIAMOND_DONATOR	
[10/14/25 09:13PM] Kursed used command ::bank | Player rights = DIAMOND_DONATOR	
[10/15/25 12:44PM] Kursed used command ::vozzath | Player rights = DIAMOND_DONATOR	
[10/15/25 02:01PM] Kursed used command ::bank | Player rights = DIAMOND_DONATOR	
[10/15/25 02:01PM] Kursed used command ::bank | Player rights = DIAMOND_DONATOR	
[10/15/25 02:01PM] Kursed used command ::bank | Player rights = DIAMOND_DONATOR	
[10/15/25 02:02PM] Kursed used command ::bank | Player rights = DIAMOND_DONATOR	
[10/15/25 02:02PM] Kursed used command ::bank | Player rights = DIAMOND_DONATOR	
[10/15/25 02:02PM] Kursed used command ::bank | Player rights = DIAMOND_DONATOR	
[10/15/25 02:05PM] Kursed used command ::bank | Player rights = DIAMOND_DONATOR	
[10/15/25 02:06PM] Kursed used command ::home | Player rights = ONYX_DONATOR	
[10/15/25 02:06PM] Kursed used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/15/25 02:06PM] Kursed used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/15/25 02:06PM] Kursed used command ::bank | Player rights = ONYX_DONATOR	
[10/15/25 03:14PM] Kursed used command ::onyx | Player rights = ONYX_DONATOR	
[10/15/25 03:19PM] Kursed used command ::naraky | Player rights = ONYX_DONATOR	
[10/15/25 03:19PM] Kursed used command ::naraku | Player rights = ONYX_DONATOR	
[10/15/25 03:23PM] Kursed used command ::dk | Player rights = ONYX_DONATOR	
[10/15/25 04:10PM] Kursed used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/15/25 04:32PM] Kursed used command ::nm | Player rights = ONYX_DONATOR	
[10/15/25 04:33PM] Kursed used command ::bank | Player rights = ONYX_DONATOR	
[10/15/25 04:59PM] Kursed used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/15/25 06:12PM] Kursed used command ::vote | Player rights = HELPER	
[10/15/25 06:12PM] Kursed used command ::bank | Player rights = HELPER	
[10/15/25 06:13PM] Kursed used command ::bank | Player rights = HELPER	
[10/15/25 06:13PM] Kursed used command ::bank | Player rights = HELPER	
[10/15/25 06:13PM] Kursed used command ::bank | Player rights = HELPER	
[10/15/25 06:14PM] Kursed used command ::bank | Player rights = HELPER	
[10/15/25 06:14PM] Kursed used command ::bank | Player rights = HELPER	
[10/15/25 06:14PM] Kursed used command ::bank | Player rights = HELPER	
[10/15/25 06:15PM] Kursed used command ::bank | Player rights = HELPER	
[10/15/25 06:16PM] Kursed used command ::bank | Player rights = HELPER	
[10/15/25 06:19PM] Kursed used command ::home | Player rights = HELPER	
[10/15/25 11:43PM] Kursed used command ::platinum | Player rights = HELPER	
[10/16/25 12:07AM] Kursed used command ::teleo history hawk | Player rights = HELPER	
[10/16/25 12:34AM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 02:25AM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 02:25AM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 02:25AM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 03:13PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 03:14PM] Kursed used command ::teleto dracky | Player rights = HELPER	
[10/16/25 03:14PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 03:17PM] Kursed used command ::kick dracky | Player rights = HELPER	
[10/16/25 03:18PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 03:29PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 03:29PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 03:29PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 03:29PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 03:30PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 03:31PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:22PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:22PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:23PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:23PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:23PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:23PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:23PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:23PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:23PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:23PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:23PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:23PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:24PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:24PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:24PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:24PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:24PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:24PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:24PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:24PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:24PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:24PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:25PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:25PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:25PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:25PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:25PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:25PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:25PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:25PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:25PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:25PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:25PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:25PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:25PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:25PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:25PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:25PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:25PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:25PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:26PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:26PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:26PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:26PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:26PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:26PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:26PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:26PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:26PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:26PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:26PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:26PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:26PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:26PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:26PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:26PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:27PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:27PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:27PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:27PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:27PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:27PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:27PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:27PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:27PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:27PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:27PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:27PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:28PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:28PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:28PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:28PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:28PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:28PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:28PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:28PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:28PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:28PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:28PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:29PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:29PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:30PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:30PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:30PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:31PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:31PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:31PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:33PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:33PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:33PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:33PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:33PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:33PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:34PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:34PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:34PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:35PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:35PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:35PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:35PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:35PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:36PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:36PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:36PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:36PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:37PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:37PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/16/25 04:37PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:37PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:40PM] Kursed used command ::onyx | Player rights = HELPER	
[10/16/25 04:47PM] Kursed used command ::bank | Player rights = HELPER	
[10/16/25 04:47PM] Kursed used command ::oldhome | Player rights = HELPER	
[10/16/25 04:49PM] Kursed used command ::bank | Player rights = HELPER	
[10/17/25 02:43PM] Kursed used command ::nm | Player rights = HELPER	
[10/17/25 02:43PM] Kursed used command ::bank | Player rights = HELPER	
[10/17/25 03:01PM] Kursed used command ::nm | Player rights = HELPER	
[10/17/25 03:01PM] Kursed used command ::nm | Player rights = HELPER	
[10/17/25 03:14PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/17/25 03:23PM] Kursed used command ::vote | Player rights = HELPER	
[10/17/25 03:29PM] Kursed used command ::vote | Player rights = HELPER	
[10/17/25 06:32PM] Kursed used command ::bank | Player rights = HELPER	
[10/17/25 06:36PM] Kursed used command ::bank | Player rights = HELPER	
[10/17/25 06:38PM] Kursed used command ::dissolveall | Player rights = HELPER	
[10/17/25 07:23PM] Kursed used command ::bank | Player rights = HELPER	
