[10/7/25 06:35AM] Gudekompleks used command ::vboss | Player rights = EMERALD_DONATOR	
[10/7/25 08:01AM] Gudekompleks used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 08:06AM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:12AM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:16AM] Gudekompleks used command ::slayer | Player rights = EMERALD_DONATOR	
[10/7/25 08:33AM] Gudekompleks used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 08:37AM] Gudekompleks used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 09:17AM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:17AM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:17AM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:19AM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:19AM] Gudekompleks used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/7/25 09:51AM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 10:00AM] Gudekompleks used command ::nm | Player rights = EMERALD_DONATOR	
[10/7/25 10:16AM] Gudekompleks used command ::ref | Player rights = EMERALD_DONATOR	
[10/7/25 10:30AM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 10:33AM] Gudekompleks used command ::vboss | Player rights = EMERALD_DONATOR	
[10/7/25 10:37AM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:36AM] Gudekompleks used command ::answer foem30ff03mfo2 | Player rights = EMERALD_DONATOR	
[10/7/25 11:36AM] Gudekompleks used command ::answer  foem30ffo3mfo2 | Player rights = EMERALD_DONATOR	
[10/7/25 11:36AM] Gudekompleks used command ::answer foem30ffo3mfo2 | Player rights = EMERALD_DONATOR	
[10/7/25 11:43AM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:57AM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:58AM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:01PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:07PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:17PM] Gudekompleks used command ::answer 9 | Player rights = EMERALD_DONATOR	
[10/7/25 12:27PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:28PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:29PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:29PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:29PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:29PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:49PM] Gudekompleks used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 12:57PM] Gudekompleks used command ::answer saturn | Player rights = EMERALD_DONATOR	
[10/7/25 12:57PM] Gudekompleks used command ::answer venus | Player rights = EMERALD_DONATOR	
[10/7/25 12:58PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:58PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:00PM] Gudekompleks used command ::ckeys | Player rights = EMERALD_DONATOR	
[10/7/25 01:00PM] Gudekompleks used command ::ckey | Player rights = EMERALD_DONATOR	
[10/7/25 01:00PM] Gudekompleks used command ::ckeys | Player rights = EMERALD_DONATOR	
[10/7/25 01:00PM] Gudekompleks used command ::chests | Player rights = EMERALD_DONATOR	
[10/7/25 01:00PM] Gudekompleks used command ::chest | Player rights = EMERALD_DONATOR	
[10/7/25 01:01PM] Gudekompleks used command ::dz | Player rights = EMERALD_DONATOR	
[10/7/25 01:01PM] Gudekompleks used command ::dze | Player rights = EMERALD_DONATOR	
[10/7/25 01:02PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:03PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:04PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:05PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:10PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:20PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:21PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:23PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:32PM] Gudekompleks used command ::dice | Player rights = EMERALD_DONATOR	
[10/7/25 01:32PM] Gudekompleks used command ::olddice | Player rights = EMERALD_DONATOR	
[10/7/25 01:32PM] Gudekompleks used command ::olddice2 | Player rights = EMERALD_DONATOR	
[10/7/25 01:32PM] Gudekompleks used command ::dice2 | Player rights = EMERALD_DONATOR	
[10/7/25 01:33PM] Gudekompleks used command ::skill | Player rights = EMERALD_DONATOR	
[10/7/25 01:33PM] Gudekompleks used command ::skilling | Player rights = EMERALD_DONATOR	
[10/7/25 01:33PM] Gudekompleks used command ::train | Player rights = EMERALD_DONATOR	
[10/7/25 01:33PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:36PM] Gudekompleks used command ::emerald | Player rights = EMERALD_DONATOR	
[10/7/25 01:38PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:40PM] Gudekompleks used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/7/25 01:44PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:46PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:47PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:47PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:49PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:52PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:52PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:53PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:53PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:53PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:56PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:56PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:57PM] Gudekompleks used command ::bank | Player rights = EMERALD_DONATOR	
