[10/7/25 12:25PM] Juggy used command ::starter | Player rights = PLAYER	
[10/7/25 01:37PM] Juggy used command ::answer $100 | Player rights = EMERALD_DONATOR	
[10/7/25 01:38PM] Juggy used command ::answer $200 | Player rights = EMERALD_DONATOR	
[10/7/25 01:38PM] Juggy used command ::answer $500 | Player rights = EMERALD_DONATOR	
[10/7/25 01:38PM] Juggy used command ::answer $0 | Player rights = EMERALD_DONATOR	
[10/7/25 01:38PM] Juggy used command ::answer $250 | Player rights = EMERALD_DONATOR	
[10/7/25 01:38PM] Juggy used command ::answer $750 | Player rights = EMERALD_DONATOR	
[10/7/25 01:38PM] Juggy used command ::answer $50 | Player rights = EMERALD_DONATOR	
[10/7/25 01:38PM] Juggy used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/7/25 01:39PM] Juggy used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/7/25 01:39PM] Juggy used command ::Dr | Player rights = EMERALD_DONATOR	
[10/7/25 01:40PM] Juggy used command ::vote | Player rights = EMERALD_DONATOR	
[10/7/25 01:42PM] Juggy used command ::home | Player rights = EMERALD_DONATOR	
[10/7/25 01:45PM] Juggy used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 01:45PM] Juggy used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 01:50PM] Juggy used command ::levelup | Player rights = EMERALD_DONATOR	
[10/7/25 01:56PM] Juggy used command ::shops | Player rights = EMERALD_DONATOR	
[10/7/25 01:58PM] Juggy used command ::answer ximf2mc292m92 | Player rights = EMERALD_DONATOR	
[10/7/25 02:30PM] Juggy used command ::sp | Player rights = EMERALD_DONATOR	
[10/7/25 02:30PM] Juggy used command ::bp | Player rights = EMERALD_DONATOR	
[10/7/25 02:30PM] Juggy used command ::nm | Player rights = EMERALD_DONATOR	
[10/7/25 02:38PM] Juggy used command ::answer ximfmc292m92 | Player rights = EMERALD_DONATOR	
[10/7/25 02:38PM] Juggy used command ::answer ximf2mc292m92 | Player rights = EMERALD_DONATOR	
[10/7/25 02:39PM] Juggy used command ::nm | Player rights = EMERALD_DONATOR	
[10/7/25 02:41PM] Juggy used command ::nm | Player rights = EMERALD_DONATOR	
[10/7/25 02:42PM] Juggy used command ::nm | Player rights = EMERALD_DONATOR	
[10/7/25 02:42PM] Juggy used command ::Dr | Player rights = EMERALD_DONATOR	
[10/7/25 02:45PM] Juggy used command ::donate | Player rights = EMERALD_DONATOR	
[10/7/25 02:48PM] Juggy used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 02:49PM] Juggy used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 02:49PM] Juggy used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 02:51PM] Juggy used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 02:51PM] Juggy used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 02:51PM] Juggy used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 02:52PM] Juggy used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 02:52PM] Juggy used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 02:58PM] Juggy used command ::answer levincia | Player rights = EMERALD_DONATOR	
[10/7/25 02:59PM] Juggy used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 02:59PM] Juggy used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 03:03PM] Juggy used command ::donate | Player rights = EMERALD_DONATOR	
[10/7/25 03:10PM] Juggy used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 03:11PM] Juggy used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 03:12PM] Juggy used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 03:12PM] Juggy used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 03:13PM] Juggy used command ::Sapphire | Player rights = EMERALD_DONATOR	
[10/7/25 03:15PM] Juggy used command ::saphire | Player rights = EMERALD_DONATOR	
[10/7/25 03:15PM] Juggy used command ::emerald | Player rights = EMERALD_DONATOR	
[10/7/25 03:15PM] Juggy used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 03:18PM] Juggy used command ::changepass bigass | Player rights = EMERALD_DONATOR	
[10/7/25 03:19PM] Juggy used command ::changepassword bigass | Player rights = EMERALD_DONATOR	
