[10/7/25 07:01PM] Big Daddy D used command ::bank | Player rights = PLAYER	
[10/16/25 08:41PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 08:42PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 08:42PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 08:43PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 08:43PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 08:45PM] Big Daddy D used command ::9￉ﾳb | Player rights = EMERALD_DONATOR	
[10/16/25 08:45PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 08:45PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 08:46PM] Big Daddy D used command ::bank | Player rights = RUBY_DONATOR	
[10/16/25 08:47PM] Big Daddy D used command ::bank | Player rights = RUBY_DONATOR	
[10/16/25 08:47PM] Big Daddy D used command ::bank | Player rights = RUBY_DONATOR	
[10/16/25 08:49PM] Big Daddy D used command ::bank | Player rights = DIAMOND_DONATOR	
[10/16/25 08:49PM] Big Daddy D used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/16/25 08:49PM] Big Daddy D used command ::bank | Player rights = DIAMOND_DONATOR	
[10/16/25 08:50PM] Big Daddy D used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/16/25 08:50PM] Big Daddy D used command ::bank | Player rights = DIAMOND_DONATOR	
[10/16/25 08:50PM] Big Daddy D used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/16/25 08:50PM] Big Daddy D used command ::bank | Player rights = DIAMOND_DONATOR	
[10/16/25 08:50PM] Big Daddy D used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/16/25 08:51PM] Big Daddy D used command ::shops | Player rights = DIAMOND_DONATOR	
[10/16/25 08:51PM] Big Daddy D used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/16/25 08:51PM] Big Daddy D used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/16/25 08:51PM] Big Daddy D used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/16/25 08:52PM] Big Daddy D used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/16/25 08:52PM] Big Daddy D used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/16/25 08:52PM] Big Daddy D used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/16/25 08:52PM] Big Daddy D used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/16/25 08:52PM] Big Daddy D used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/16/25 08:52PM] Big Daddy D used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/16/25 08:52PM] Big Daddy D used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/16/25 08:53PM] Big Daddy D used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/16/25 08:53PM] Big Daddy D used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/16/25 08:53PM] Big Daddy D used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/16/25 08:53PM] Big Daddy D used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/16/25 08:53PM] Big Daddy D used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/16/25 08:53PM] Big Daddy D used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/16/25 08:54PM] Big Daddy D used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/16/25 08:54PM] Big Daddy D used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/16/25 08:54PM] Big Daddy D used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/16/25 08:54PM] Big Daddy D used command ::dissolveall | Player rights = DIAMOND_DONATOR	
[10/16/25 08:58PM] Big Daddy D used command ::bank | Player rights = DIAMOND_DONATOR	
[10/16/25 08:58PM] Big Daddy D used command ::bank | Player rights = DIAMOND_DONATOR	
