[10/4/25 08:23PM] Hank used command ::yell yes sir | Player rights = OWNER	
[10/4/25 09:18PM] Hank used command ::prestige | Player rights = OWNER	
[10/4/25 09:19PM] Hank used command ::master | Player rights = OWNER	
[10/4/25 09:19PM] Hank used command ::prestige | Player rights = OWNER	
[10/4/25 09:19PM] Hank used command ::master | Player rights = OWNER	
[10/4/25 09:19PM] Hank used command ::prestige | Player rights = OWNER	
[10/4/25 09:19PM] Hank used command ::master | Player rights = OWNER	
[10/4/25 09:19PM] Hank used command ::prestige | Player rights = OWNER	
[10/4/25 09:34PM] Hank used command ::settitle owner | Player rights = OWNER	
[10/4/25 09:34PM] Hank used command ::settile owner | Player rights = OWNER	
[10/4/25 09:34PM] Hank used command ::title | Player rights = OWNER	
[10/4/25 09:35PM] Hank used command ::tittle 100 | Player rights = OWNER	
[10/4/25 09:35PM] Hank used command ::shops | Player rights = OWNER	
[10/4/25 09:38PM] Hank used command ::item 10943 100000 | Player rights = OWNER	
[10/4/25 09:48PM] Hank used command ::bank | Player rights = OWNER	
[10/4/25 09:51PM] Hank used command ::item 19000 1000000 | Player rights = OWNER	
[10/4/25 09:51PM] Hank used command ::bank | Player rights = OWNER	
[10/4/25 09:53PM] Hank used command ::bank | Player rights = OWNER	
[10/4/25 09:56PM] Hank used command ::bank | Player rights = OWNER	
[10/4/25 09:58PM] Hank used command ::bank | Player rights = OWNER	
[10/4/25 09:59PM] Hank used command ::item 23225 | Player rights = OWNER	
[10/4/25 10:03PM] Hank used command ::item 11426 | Player rights = OWNER	
[10/4/25 10:03PM] Hank used command ::sit | Player rights = OWNER	
[10/4/25 10:04PM] Hank used command ::afk | Player rights = OWNER	
[10/4/25 10:04PM] Hank used command ::upgrade | Player rights = OWNER	
[10/4/25 10:06PM] Hank used command ::staffzone | Player rights = OWNER	
[10/4/25 10:06PM] Hank used command ::naeaku | Player rights = OWNER	
[10/4/25 10:06PM] Hank used command ::naraku | Player rights = OWNER	
[10/4/25 10:07PM] Hank used command ::staffzone | Player rights = OWNER	
[10/5/25 06:00AM] Hank used command ::pristige | Player rights = OWNER	
[10/5/25 06:00AM] Hank used command ::prestige | Player rights = OWNER	
[10/5/25 06:31AM] Hank used command ::bank | Player rights = OWNER	
[10/5/25 06:33AM] Hank used command ::bank | Player rights = OWNER	
[10/5/25 06:35AM] Hank used command ::bank | Player rights = OWNER	
[10/5/25 06:35AM] Hank used command ::bank | Player rights = OWNER	
[10/5/25 06:36AM] Hank used command ::bank | Player rights = OWNER	
[10/5/25 06:36AM] Hank used command ::bank | Player rights = OWNER	
[10/5/25 06:39AM] Hank used command ::bank | Player rights = OWNER	
[10/5/25 06:39AM] Hank used command ::bank | Player rights = OWNER	
[10/5/25 06:41AM] Hank used command ::bank | Player rights = OWNER	
[10/5/25 07:00AM] Hank used command ::players | Player rights = OWNER	
[10/5/25 07:01AM] Hank used command ::train | Player rights = OWNER	
[10/5/25 07:07AM] Hank used command ::players | Player rights = OWNER	
[10/5/25 07:14AM] Hank used command ::dr | Player rights = OWNER	
[10/5/25 07:25AM] Hank used command ::bank | Player rights = OWNER	
[10/5/25 07:27AM] Hank used command ::teleto spoon | Player rights = OWNER	
[10/5/25 07:27AM] Hank used command ::bank | Player rights = OWNER	
[10/5/25 07:28AM] Hank used command ::giveitme 4186 5 history hawk | Player rights = OWNER	
[10/5/25 07:29AM] Hank used command ::bank | Player rights = OWNER	
[10/5/25 07:47AM] Hank used command ::teleto spoon | Player rights = OWNER	
[10/5/25 08:00AM] Hank used command ::god | Player rights = OWNER	
[10/5/25 08:01AM] Hank used command ::god | Player rights = OWNER	
[10/5/25 08:16AM] Hank used command ::bank | Player rights = OWNER	
[10/5/25 08:18AM] Hank used command ::shops | Player rights = OWNER	
[10/5/25 08:18AM] Hank used command ::bank | Player rights = OWNER	
[10/5/25 08:19AM] Hank used command ::bank | Player rights = OWNER	
[10/5/25 08:19AM] Hank used command ::staffzone | Player rights = OWNER	
[10/5/25 09:32AM] Hank used command ::teleto test | Player rights = OWNER	
[10/5/25 09:36AM] Hank used command ::teleto spoon | Player rights = OWNER	
[10/5/25 01:02PM] Hank used command ::dp | Player rights = OWNER	
[10/5/25 01:02PM] Hank used command ::dropparty | Player rights = OWNER	
[10/5/25 01:26PM] Hank used command ::teletome history hawk | Player rights = OWNER	
[10/5/25 01:41PM] Hank used command ::bank | Player rights = OWNER	
[10/5/25 06:18PM] Hank used command ::god | Player rights = OWNER	
[10/5/25 06:30PM] Hank used command ::find box | Player rights = OWNER	
[10/5/25 06:30PM] Hank used command ::item 23429 | Player rights = OWNER	
[10/5/25 06:31PM] Hank used command ::item 23362 | Player rights = OWNER	
[10/5/25 06:32PM] Hank used command ::item 23425 | Player rights = OWNER	
[10/5/25 06:32PM] Hank used command ::find donor | Player rights = OWNER	
[10/5/25 06:32PM] Hank used command ::find donator | Player rights = OWNER	
[10/5/25 06:33PM] Hank used command ::find battlepass | Player rights = OWNER	
[10/5/25 06:33PM] Hank used command ::find halloween | Player rights = OWNER	
[10/5/25 06:33PM] Hank used command ::item 23438 | Player rights = OWNER	
[10/5/25 06:34PM] Hank used command ::item 13150 | Player rights = OWNER	
[10/5/25 06:34PM] Hank used command ::item 13150 10 | Player rights = OWNER	
[10/5/25 06:35PM] Hank used command ::find pet | Player rights = OWNER	
[10/5/25 06:36PM] Hank used command ::item 12556 | Player rights = OWNER	
[10/5/25 06:37PM] Hank used command ::find scroll | Player rights = OWNER	
[10/5/25 06:37PM] Hank used command ::item 23165 | Player rights = OWNER	
[10/5/25 06:37PM] Hank used command ::item 23466 | Player rights = OWNER	
[10/5/25 06:38PM] Hank used command ::item 23166 | Player rights = OWNER	
[10/5/25 06:38PM] Hank used command ::item 23167 | Player rights = OWNER	
[10/5/25 06:38PM] Hank used command ::item 23168 | Player rights = OWNER	
[10/5/25 06:38PM] Hank used command ::item 23169 | Player rights = OWNER	
[10/5/25 06:38PM] Hank used command ::item 23170 | Player rights = OWNER	
[10/5/25 06:39PM] Hank used command ::item 3 | Player rights = OWNER	
[10/5/25 06:39PM] Hank used command ::item 23552 | Player rights = OWNER	
[10/5/25 06:39PM] Hank used command ::item 19670 1000 | Player rights = OWNER	
[10/5/25 06:40PM] Hank used command ::find vote | Player rights = OWNER	
[10/5/25 06:40PM] Hank used command ::item 23020 1000 | Player rights = OWNER	
[10/5/25 06:40PM] Hank used command ::empty | Player rights = OWNER	
[10/5/25 06:41PM] Hank used command ::bank | Player rights = OWNER	
[10/5/25 06:41PM] Hank used command ::shops | Player rights = OWNER	
[10/5/25 06:42PM] Hank used command ::bank | Player rights = OWNER	
[10/5/25 06:43PM] Hank used command ::item 10830 1000 | Player rights = OWNER	
[10/5/25 06:49PM] Hank used command ::yell hm | Player rights = OWNER	
[10/5/25 06:52PM] Hank used command ::yell hm | Player rights = OWNER	
[10/6/25 04:51AM] Hank used command ::teleto atz | Player rights = OWNER	
[10/6/25 04:52AM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 04:54AM] Hank used command ::teleto atz | Player rights = OWNER	
[10/6/25 04:55AM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 04:57AM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 05:00AM] Hank used command ::trade atz | Player rights = OWNER	
[10/6/25 05:00AM] Hank used command ::teleto atz | Player rights = OWNER	
[10/6/25 05:02AM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 05:03AM] Hank used command ::dropparty | Player rights = OWNER	
[10/6/25 05:03AM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 05:06AM] Hank used command ::spawn globals | Player rights = OWNER	
[10/6/25 05:06AM] Hank used command ::spawn hellraiser | Player rights = OWNER	
[10/6/25 05:06AM] Hank used command ::hellraiser | Player rights = OWNER	
[10/6/25 05:07AM] Hank used command ::bossspawn | Player rights = OWNER	
[10/6/25 05:09AM] Hank used command ::teleto atz | Player rights = OWNER	
[10/6/25 05:10AM] Hank used command ::telelto me atz | Player rights = OWNER	
[10/6/25 05:10AM] Hank used command ::teletome atz | Player rights = OWNER	
[10/6/25 05:13AM] Hank used command ::teleto grand | Player rights = OWNER	
[10/6/25 05:13AM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 05:13AM] Hank used command ::giveitem 23002 5 grand | Player rights = OWNER	
[10/6/25 05:14AM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 05:14AM] Hank used command ::giveitem 23279 1 grand | Player rights = OWNER	
[10/6/25 05:15AM] Hank used command ::find aura | Player rights = OWNER	
[10/6/25 05:16AM] Hank used command ::item 22120 | Player rights = OWNER	
[10/6/25 05:16AM] Hank used command ::giveitem 22120 1 grand | Player rights = OWNER	
[10/6/25 05:18AM] Hank used command ::find ironman | Player rights = OWNER	
[10/6/25 05:19AM] Hank used command ::item 23379 | Player rights = OWNER	
[10/6/25 05:20AM] Hank used command ::item 30851 | Player rights = OWNER	
[10/6/25 05:20AM] Hank used command ::item 10823 | Player rights = OWNER	
[10/6/25 05:20AM] Hank used command ::item 10824 | Player rights = OWNER	
[10/6/25 05:21AM] Hank used command ::item 10825 | Player rights = OWNER	
[10/6/25 05:22AM] Hank used command ::find owner | Player rights = OWNER	
[10/6/25 05:26AM] Hank used command ::teleto grand | Player rights = OWNER	
[10/6/25 05:27AM] Hank used command ::teleto atz | Player rights = OWNER	
[10/6/25 05:27AM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 05:33AM] Hank used command ::find costume | Player rights = OWNER	
[10/6/25 05:34AM] Hank used command ::item 23403 | Player rights = OWNER	
[10/6/25 05:35AM] Hank used command ::item 23550 | Player rights = OWNER	
[10/6/25 05:35AM] Hank used command ::item 23482 | Player rights = OWNER	
[10/6/25 05:36AM] Hank used command ::item 23509 | Player rights = OWNER	
[10/6/25 05:36AM] Hank used command ::item 23465 | Player rights = OWNER	
[10/6/25 05:36AM] Hank used command ::item 23466 | Player rights = OWNER	
[10/6/25 05:37AM] Hank used command ::item 23385 | Player rights = OWNER	
[10/6/25 05:37AM] Hank used command ::item 17746 | Player rights = OWNER	
[10/6/25 05:37AM] Hank used command ::item 13269 | Player rights = OWNER	
[10/6/25 05:38AM] Hank used command ::item 13258 | Player rights = OWNER	
[10/6/25 05:38AM] Hank used command ::item 3062 | Player rights = OWNER	
[10/6/25 05:38AM] Hank used command ::item 23454 | Player rights = OWNER	
[10/6/25 05:39AM] Hank used command ::teleto grand | Player rights = OWNER	
[10/6/25 05:40AM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 05:41AM] Hank used command ::giveitem 23253 1 all | Player rights = OWNER	
[10/6/25 05:41AM] Hank used command ::giveitem 23253 1 grand | Player rights = OWNER	
[10/6/25 05:42AM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 05:43AM] Hank used command ::teletome grand | Player rights = OWNER	
[10/6/25 05:44AM] Hank used command ::find unlock | Player rights = OWNER	
[10/6/25 05:44AM] Hank used command ::item 23427 | Player rights = OWNER	
[10/6/25 05:45AM] Hank used command ::find owner | Player rights = OWNER	
[10/6/25 05:45AM] Hank used command ::item 7995 2 | Player rights = OWNER	
[10/6/25 05:50AM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 05:51AM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 05:51AM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 05:52AM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 05:52AM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 05:57AM] Hank used command ::home | Player rights = OWNER	
[10/6/25 06:04AM] Hank used command ::ironman | Player rights = OWNER	
[10/6/25 06:11AM] Hank used command ::dk | Player rights = OWNER	
[10/6/25 06:17AM] Hank used command ::massspawn | Player rights = OWNER	
[10/6/25 06:17AM] Hank used command ::massboss | Player rights = OWNER	
[10/6/25 06:17AM] Hank used command ::mass | Player rights = OWNER	
[10/6/25 06:17AM] Hank used command ::spawn mass | Player rights = OWNER	
[10/6/25 06:17AM] Hank used command ::spawnmass | Player rights = OWNER	
[10/6/25 06:17AM] Hank used command ::eventboss | Player rights = OWNER	
[10/6/25 06:18AM] Hank used command ::spawn eventboss | Player rights = OWNER	
[10/6/25 06:18AM] Hank used command ::christmas | Player rights = OWNER	
[10/6/25 06:18AM] Hank used command ::easter | Player rights = OWNER	
[10/6/25 06:18AM] Hank used command ::halloween | Player rights = OWNER	
[10/6/25 06:21AM] Hank used command ::dzone | Player rights = OWNER	
[10/6/25 06:21AM] Hank used command ::donatorzone | Player rights = OWNER	
[10/6/25 06:21AM] Hank used command ::commands | Player rights = OWNER	
[10/6/25 06:21AM] Hank used command ::szone | Player rights = OWNER	
[10/6/25 06:21AM] Hank used command ::donorzone | Player rights = OWNER	
[10/6/25 06:21AM] Hank used command ::dz | Player rights = OWNER	
[10/6/25 06:22AM] Hank used command ::dzone | Player rights = OWNER	
[10/6/25 06:22AM] Hank used command ::zones | Player rights = OWNER	
[10/6/25 06:26AM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 06:26AM] Hank used command ::empty | Player rights = OWNER	
[10/6/25 06:26AM] Hank used command ::find tablet | Player rights = OWNER	
[10/6/25 06:26AM] Hank used command ::item 15406 | Player rights = OWNER	
[10/6/25 06:26AM] Hank used command ::item 15407 | Player rights = OWNER	
[10/6/25 06:27AM] Hank used command ::item 15404 | Player rights = OWNER	
[10/6/25 06:27AM] Hank used command ::item 15405 | Player rights = OWNER	
[10/6/25 06:28AM] Hank used command ::yell we need to invite players | Player rights = OWNER	
[10/6/25 06:32AM] Hank used command ::find hatchet | Player rights = OWNER	
[10/6/25 06:32AM] Hank used command ::item 13470 | Player rights = OWNER	
[10/6/25 06:32AM] Hank used command ::item 6739 | Player rights = OWNER	
[10/6/25 06:34AM] Hank used command ::find master | Player rights = OWNER	
[10/6/25 06:34AM] Hank used command ::find prestige | Player rights = OWNER	
[10/6/25 06:34AM] Hank used command ::item 22052 | Player rights = OWNER	
[10/6/25 06:34AM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 06:35AM] Hank used command ::find master | Player rights = OWNER	
[10/6/25 06:39AM] Hank used command ::naraku | Player rights = OWNER	
[10/6/25 06:42AM] Hank used command ::dk | Player rights = OWNER	
[10/6/25 06:43AM] Hank used command ::find god | Player rights = OWNER	
[10/6/25 06:43AM] Hank used command ::find owner | Player rights = OWNER	
[10/6/25 06:43AM] Hank used command ::giveitem 23242 1 history hawk | Player rights = OWNER	
[10/6/25 06:44AM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 06:47AM] Hank used command ::find box | Player rights = OWNER	
[10/6/25 06:48AM] Hank used command ::giveitem 23177 10 atz | Player rights = OWNER	
[10/6/25 06:50AM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 06:50AM] Hank used command ::giveitme 23279 5 atz | Player rights = OWNER	
[10/6/25 06:50AM] Hank used command ::giveitem 23279 5 grand | Player rights = OWNER	
[10/6/25 06:50AM] Hank used command ::giveitem 23279 5 atz | Player rights = OWNER	
[10/6/25 06:52AM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 06:54AM] Hank used command ::item 10949 5 | Player rights = OWNER	
[10/6/25 06:55AM] Hank used command ::item 22112 5 | Player rights = OWNER	
[10/6/25 06:55AM] Hank used command ::item 12855 10000000 | Player rights = OWNER	
[10/6/25 06:55AM] Hank used command ::item 12855 1b | Player rights = OWNER	
[10/6/25 06:56AM] Hank used command ::item 12537 1 | Player rights = OWNER	
[10/6/25 06:56AM] Hank used command ::item 23239 | Player rights = OWNER	
[10/6/25 06:56AM] Hank used command ::item 22110 50 | Player rights = OWNER	
[10/6/25 06:58AM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 06:59AM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 06:59AM] Hank used command ::fillbank | Player rights = OWNER	
[10/6/25 06:59AM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 06:59AM] Hank used command ::wog | Player rights = OWNER	
[10/6/25 06:59AM] Hank used command ::well | Player rights = OWNER	
[10/6/25 06:59AM] Hank used command ::pos | Player rights = OWNER	
[10/6/25 06:59AM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 07:00AM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 07:03AM] Hank used command ::item 17510 50 | Player rights = OWNER	
[10/6/25 07:04AM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 07:04AM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 07:06AM] Hank used command ::find soul | Player rights = OWNER	
[10/6/25 07:07AM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 07:07AM] Hank used command ::item 14636 2b | Player rights = OWNER	
[10/6/25 07:07AM] Hank used command ::empty | Player rights = OWNER	
[10/6/25 07:07AM] Hank used command ::item 14639 2b | Player rights = OWNER	
[10/6/25 07:14AM] Hank used command ::teleto grand | Player rights = OWNER	
[10/6/25 07:19AM] Hank used command ::train | Player rights = OWNER	
[10/6/25 07:20AM] Hank used command ::find pass | Player rights = OWNER	
[10/6/25 07:20AM] Hank used command ::item 23275 | Player rights = OWNER	
[10/6/25 07:20AM] Hank used command ::item 23392 | Player rights = OWNER	
[10/6/25 07:54AM] Hank used command ::teleto grand | Player rights = OWNER	
[10/6/25 07:59AM] Hank used command ::edge | Player rights = OWNER	
[10/6/25 07:59AM] Hank used command ::edgevill | Player rights = OWNER	
[10/6/25 08:03AM] Hank used command ::item 15872 | Player rights = OWNER	
[10/6/25 05:26PM] Hank used command ::find pass | Player rights = OWNER	
[10/6/25 05:28PM] Hank used command ::donate | Player rights = OWNER	
[10/6/25 05:51PM] Hank used command ::teleto spoon | Player rights = OWNER	
[10/6/25 05:52PM] Hank used command ::vote | Player rights = OWNER	
[10/6/25 05:52PM] Hank used command ::find vote | Player rights = OWNER	
[10/6/25 05:53PM] Hank used command ::item 19670 | Player rights = OWNER	
[10/6/25 05:53PM] Hank used command ::item 23020 | Player rights = OWNER	
[10/6/25 05:53PM] Hank used command ::giveitem 23020 5 spoon | Player rights = OWNER	
[10/6/25 05:53PM] Hank used command ::teleto spoon | Player rights = OWNER	
[10/6/25 05:54PM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 05:54PM] Hank used command ::giveitem 23002 5 spoon | Player rights = OWNER	
[10/6/25 05:55PM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 05:55PM] Hank used command ::giveitem 18888 1 spoon | Player rights = OWNER	
[10/6/25 05:56PM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 05:57PM] Hank used command ::dr | Player rights = OWNER	
[10/6/25 05:59PM] Hank used command ::find blood | Player rights = OWNER	
[10/6/25 06:00PM] Hank used command ::find blood box | Player rights = OWNER	
[10/6/25 06:01PM] Hank used command ::item 13594 5 | Player rights = OWNER	
[10/6/25 06:02PM] Hank used command ::giveitem 13594 1 spoon | Player rights = OWNER	
[10/6/25 06:02PM] Hank used command ::teleto spoon | Player rights = OWNER	
[10/6/25 06:04PM] Hank used command ::giveitem 15872 1 spoon | Player rights = OWNER	
[10/6/25 06:05PM] Hank used command ::find spawn | Player rights = OWNER	
[10/6/25 06:05PM] Hank used command ::find boss | Player rights = OWNER	
[10/6/25 06:05PM] Hank used command ::find global | Player rights = OWNER	
[10/6/25 06:05PM] Hank used command ::item 13700 | Player rights = OWNER	
[10/6/25 06:05PM] Hank used command ::iteme 13701 | Player rights = OWNER	
[10/6/25 06:06PM] Hank used command ::item 13702 | Player rights = OWNER	
[10/6/25 06:06PM] Hank used command ::item 13701 | Player rights = OWNER	
[10/6/25 06:06PM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 06:06PM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 06:07PM] Hank used command ::teleto spoon | Player rights = OWNER	
[10/6/25 06:07PM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 06:08PM] Hank used command ::giveitem 4278 1000 spoon | Player rights = OWNER	
[10/6/25 06:12PM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 06:12PM] Hank used command ::find potion | Player rights = OWNER	
[10/6/25 06:16PM] Hank used command ::find aoe | Player rights = OWNER	
[10/6/25 06:17PM] Hank used command ::find scroll | Player rights = OWNER	
[10/6/25 06:17PM] Hank used command ::item 19626 | Player rights = OWNER	
[10/6/25 06:18PM] Hank used command ::item 23401 | Player rights = OWNER	
[10/6/25 06:18PM] Hank used command ::item 23755 | Player rights = OWNER	
[10/6/25 06:19PM] Hank used command ::item 19041 | Player rights = OWNER	
[10/6/25 06:19PM] Hank used command ::item 29 | Player rights = OWNER	
[10/6/25 06:19PM] Hank used command ::item 18344 | Player rights = OWNER	
[10/6/25 06:20PM] Hank used command ::item 2355 2 | Player rights = OWNER	
[10/6/25 06:20PM] Hank used command ::item 15355 | Player rights = OWNER	
[10/6/25 06:20PM] Hank used command ::dr | Player rights = OWNER	
[10/6/25 06:20PM] Hank used command ::afk | Player rights = OWNER	
[10/6/25 06:22PM] Hank used command ::find platinum | Player rights = OWNER	
[10/6/25 06:22PM] Hank used command ::item 23447 100 | Player rights = OWNER	
[10/6/25 06:22PM] Hank used command ::home | Player rights = OWNER	
[10/6/25 06:23PM] Hank used command ::item 10503 | Player rights = OWNER	
[10/6/25 06:23PM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 06:32PM] Hank used command ::teleto spoon | Player rights = OWNER	
[10/6/25 07:34PM] Hank used command ::home | Player rights = OWNER	
[10/6/25 07:36PM] Hank used command ::starter | Player rights = OWNER	
[10/6/25 07:36PM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 07:36PM] Hank used command ::home | Player rights = OWNER	
[10/6/25 07:39PM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 07:41PM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 07:41PM] Hank used command ::find vote | Player rights = OWNER	
[10/6/25 07:41PM] Hank used command ::item 23020 5 | Player rights = OWNER	
[10/6/25 07:41PM] Hank used command ::find box of | Player rights = OWNER	
[10/6/25 07:42PM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 07:48PM] Hank used command ::yell join the help cc | Player rights = OWNER	
[10/6/25 07:48PM] Hank used command ::players | Player rights = OWNER	
[10/6/25 07:48PM] Hank used command ::teleto you | Player rights = OWNER	
[10/6/25 07:49PM] Hank used command ::getip you | Player rights = OWNER	
[10/6/25 07:49PM] Hank used command ::find aoe | Player rights = OWNER	
[10/6/25 07:49PM] Hank used command ::item 3737 | Player rights = OWNER	
[10/6/25 07:49PM] Hank used command ::item 3738 | Player rights = OWNER	
[10/6/25 07:49PM] Hank used command ::item 3739 | Player rights = OWNER	
[10/6/25 07:51PM] Hank used command ::find collectors | Player rights = OWNER	
[10/6/25 07:51PM] Hank used command ::item 23087 | Player rights = OWNER	
[10/6/25 07:57PM] Hank used command ::players | Player rights = OWNER	
[10/6/25 07:57PM] Hank used command ::yell give me 1 sec update try to fix | Player rights = OWNER	
[10/6/25 07:57PM] Hank used command ::update | Player rights = OWNER	
[10/6/25 08:00PM] Hank used command ::find staff | Player rights = OWNER	
[10/6/25 08:00PM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 08:01PM] Hank used command ::item 19888 | Player rights = OWNER	
[10/6/25 08:01PM] Hank used command ::item 8412 | Player rights = OWNER	
[10/6/25 08:01PM] Hank used command ::item 8412 | Player rights = OWNER	
[10/6/25 08:01PM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 08:02PM] Hank used command ::item 23002 10 | Player rights = OWNER	
[10/6/25 08:02PM] Hank used command ::teleto you | Player rights = OWNER	
[10/6/25 08:04PM] Hank used command ::find vote | Player rights = OWNER	
[10/6/25 08:04PM] Hank used command ::item 3 | Player rights = OWNER	
[10/6/25 08:04PM] Hank used command ::item 23020 10000 | Player rights = OWNER	
[10/6/25 08:06PM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 08:07PM] Hank used command ::bank | Player rights = OWNER	
[10/6/25 08:08PM] Hank used command ::giveitem 23279 1 vibes | Player rights = OWNER	
[10/6/25 08:08PM] Hank used command ::giveitem 23279 1 you | Player rights = OWNER	
[10/6/25 08:09PM] Hank used command ::teleto you | Player rights = OWNER	
[10/6/25 08:09PM] Hank used command ::find celebration | Player rights = OWNER	
