[10/10/25 11:11PM] Blayko used command ::home | Player rights = PLAYER	
[10/11/25 08:06AM] Blayko used command ::sapphire | Player rights = SAPPHIRE_DONATOR	
[10/11/25 08:26AM] Blayko used command ::maraku | Player rights = SAPPHIRE_DONATOR	
[10/11/25 08:26AM] Blayko used command ::maraku | Player rights = SAPPHIRE_DONATOR	
[10/11/25 08:26AM] Blayko used command ::naraku | Player rights = SAPPHIRE_DONATOR	
[10/11/25 08:27AM] Blayko used command ::naraku | Player rights = SAPPHIRE_DONATOR	
[10/11/25 08:28AM] Blayko used command ::edge | Player rights = SAPPHIRE_DONATOR	
[10/11/25 08:28AM] Blayko used command ::edgevile | Player rights = SAPPHIRE_DONATOR	
[10/11/25 08:28AM] Blayko used command ::edgeville | Player rights = SAPPHIRE_DONATOR	
[10/11/25 08:28AM] Blayko used command ::fally | Player rights = SAPPHIRE_DONATOR	
[10/11/25 08:28AM] Blayko used command ::varry | Player rights = SAPPHIRE_DONATOR	
[10/11/25 08:28AM] Blayko used command ::lumbridge | Player rights = SAPPHIRE_DONATOR	
[10/11/25 08:29AM] Blayko used command ::naraku | Player rights = SAPPHIRE_DONATOR	
[10/11/25 08:31AM] Blayko used command ::donate | Player rights = SAPPHIRE_DONATOR	
[10/11/25 11:41AM] Blayko used command ::claim | Player rights = SAPPHIRE_DONATOR	
[10/11/25 11:41AM] Blayko used command ::claimdonation | Player rights = SAPPHIRE_DONATOR	
[10/11/25 11:42AM] Blayko used command ::donated | Player rights = SAPPHIRE_DONATOR	
[10/11/25 11:42AM] Blayko used command ::commands | Player rights = SAPPHIRE_DONATOR	
[10/11/25 11:42AM] Blayko used command ::donate | Player rights = SAPPHIRE_DONATOR	
[10/11/25 11:42AM] Blayko used command ::claim | Player rights = SAPPHIRE_DONATOR	
[10/11/25 11:42AM] Blayko used command ::voted | Player rights = SAPPHIRE_DONATOR	
[10/11/25 11:42AM] Blayko used command ::donated | Player rights = SAPPHIRE_DONATOR	
[10/11/25 11:42AM] Blayko used command ::claimdonation | Player rights = SAPPHIRE_DONATOR	
[10/11/25 11:42AM] Blayko used command ::claimdonate | Player rights = SAPPHIRE_DONATOR	
[10/11/25 11:42AM] Blayko used command ::donateclaim | Player rights = SAPPHIRE_DONATOR	
[10/11/25 11:44AM] Blayko used command ::claim | Player rights = SAPPHIRE_DONATOR	
[10/11/25 11:45AM] Blayko used command ::discord | Player rights = SAPPHIRE_DONATOR	
[10/11/25 10:05PM] Blayko used command ::platinum | Player rights = SAPPHIRE_DONATOR	
[10/11/25 10:09PM] Blayko used command ::train | Player rights = SAPPHIRE_DONATOR	
[10/11/25 10:32PM] Blayko used command ::dk | Player rights = SAPPHIRE_DONATOR	
[10/11/25 10:34PM] Blayko used command ::ref | Player rights = SAPPHIRE_DONATOR	
[10/11/25 10:39PM] Blayko used command ::globals | Player rights = SAPPHIRE_DONATOR	
[10/11/25 10:39PM] Blayko used command ::::vboss | Player rights = SAPPHIRE_DONATOR	
[10/11/25 10:39PM] Blayko used command ::vboss | Player rights = SAPPHIRE_DONATOR	
[10/11/25 10:45PM] Blayko used command ::vboss | Player rights = SAPPHIRE_DONATOR	
[10/11/25 10:45PM] Blayko used command ::nephilim | Player rights = SAPPHIRE_DONATOR	
[10/11/25 10:56PM] Blayko used command ::slayer | Player rights = EMERALD_DONATOR	
[10/11/25 10:56PM] Blayko used command ::slayerboss | Player rights = EMERALD_DONATOR	
[10/11/25 10:57PM] Blayko used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 11:15PM] Blayko used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 11:17PM] Blayko used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 11:18PM] Blayko used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 11:18PM] Blayko used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 11:20PM] Blayko used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 11:20PM] Blayko used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 11:26PM] Blayko used command ::dragonking | Player rights = EMERALD_DONATOR	
[10/11/25 11:26PM] Blayko used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 11:27PM] Blayko used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 11:28PM] Blayko used command :::slayerboss | Player rights = EMERALD_DONATOR	
[10/11/25 11:28PM] Blayko used command ::slayerboss | Player rights = EMERALD_DONATOR	
[10/11/25 11:36PM] Blayko used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 11:49PM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/12/25 07:47AM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/12/25 07:49PM] Blayko used command ::ruby | Player rights = RUBY_DONATOR	
[10/12/25 07:51PM] Blayko used command ::emerald | Player rights = RUBY_DONATOR	
[10/12/25 07:53PM] Blayko used command ::/ everyone afk | Player rights = RUBY_DONATOR	
[10/12/25 08:02PM] Blayko used command ::trian | Player rights = RUBY_DONATOR	
[10/12/25 08:02PM] Blayko used command ::trian | Player rights = RUBY_DONATOR	
[10/12/25 08:02PM] Blayko used command ::train | Player rights = RUBY_DONATOR	
[10/12/25 08:03PM] Blayko used command ::l' | Player rights = RUBY_DONATOR	
[10/12/25 08:05PM] Blayko used command ::bis | Player rights = RUBY_DONATOR	
[10/12/25 08:05PM] Blayko used command ::bis | Player rights = RUBY_DONATOR	
[10/12/25 08:06PM] Blayko used command ::upgrade | Player rights = RUBY_DONATOR	
[10/12/25 08:09PM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/12/25 08:22PM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/12/25 08:33PM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/12/25 08:33PM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/12/25 08:34PM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/12/25 08:34PM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/12/25 08:34PM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/12/25 08:36PM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/12/25 08:36PM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/13/25 09:59PM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/13/25 09:59PM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/13/25 10:00PM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/13/25 10:00PM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/14/25 10:41AM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/14/25 10:41AM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/14/25 10:41AM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/14/25 03:14PM] Blayko used command ::oz | Player rights = RUBY_DONATOR	
[10/14/25 03:14PM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/14/25 03:15PM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/14/25 03:15PM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/14/25 03:20PM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/14/25 05:38PM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/14/25 05:45PM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/14/25 05:45PM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/14/25 05:46PM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/14/25 05:46PM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/14/25 05:47PM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/14/25 05:47PM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/14/25 05:48PM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/14/25 05:48PM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/14/25 05:49PM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/14/25 05:53PM] Blayko used command ::platinum | Player rights = RUBY_DONATOR	
[10/14/25 05:53PM] Blayko used command ::ruby | Player rights = RUBY_DONATOR	
[10/16/25 10:02PM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
[10/16/25 10:02PM] Blayko used command ::bank | Player rights = RUBY_DONATOR	
