[10/6/25 07:34PM] Vibes used command ::beta | Player rights = PLAYER	
[10/6/25 08:20PM] Vibes used command ::upgrade | Player rights = RUBY_DONATOR	
[10/6/25 08:20PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:21PM] Vibes used command ::upgrade | Player rights = RUBY_DONATOR	
[10/6/25 08:27PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:27PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:28PM] Vibes used command ::dr | Player rights = RUBY_DONATOR	
[10/6/25 08:28PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:35PM] Vibes used command ::dz | Player rights = RUBY_DONATOR	
[10/6/25 08:35PM] Vibes used command ::commands | Player rights = RUBY_DONATOR	
[10/6/25 08:36PM] Vibes used command ::rzone | Player rights = RUBY_DONATOR	
[10/6/25 08:36PM] Vibes used command ::ruby | Player rights = RUBY_DONATOR	
[10/6/25 08:37PM] Vibes used command ::emerald | Player rights = RUBY_DONATOR	
[10/6/25 08:37PM] Vibes used command ::diamond | Player rights = RUBY_DONATOR	
[10/6/25 08:38PM] Vibes used command ::launch | Player rights = RUBY_DONATOR	
[10/6/25 08:38PM] Vibes used command ::beta | Player rights = RUBY_DONATOR	
[10/6/25 08:39PM] Vibes used command ::shops | Player rights = RUBY_DONATOR	
[10/6/25 08:39PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:40PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:41PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:41PM] Vibes used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/6/25 08:42PM] Vibes used command ::upgrade | Player rights = RUBY_DONATOR	
[10/6/25 08:42PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:43PM] Vibes used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/6/25 08:43PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:43PM] Vibes used command ::upgrade | Player rights = RUBY_DONATOR	
[10/6/25 08:44PM] Vibes used command ::upgrade | Player rights = RUBY_DONATOR	
[10/6/25 08:44PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:44PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:44PM] Vibes used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/6/25 08:45PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:45PM] Vibes used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/6/25 08:45PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:46PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:46PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:47PM] Vibes used command ::upgrade | Player rights = RUBY_DONATOR	
[10/6/25 08:47PM] Vibes used command ::upgrade | Player rights = RUBY_DONATOR	
[10/6/25 08:47PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:47PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:48PM] Vibes used command ::upgrade | Player rights = RUBY_DONATOR	
[10/6/25 08:48PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:48PM] Vibes used command ::upgrade | Player rights = RUBY_DONATOR	
[10/6/25 08:48PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:49PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:49PM] Vibes used command ::upgrade | Player rights = RUBY_DONATOR	
[10/6/25 08:49PM] Vibes used command ::upgrade | Player rights = RUBY_DONATOR	
[10/6/25 08:49PM] Vibes used command ::upgrade | Player rights = RUBY_DONATOR	
[10/6/25 08:50PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:51PM] Vibes used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/6/25 08:51PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:51PM] Vibes used command ::upgrade | Player rights = RUBY_DONATOR	
[10/6/25 08:51PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:52PM] Vibes used command ::upgrade | Player rights = RUBY_DONATOR	
[10/6/25 08:52PM] Vibes used command ::upgrade | Player rights = RUBY_DONATOR	
[10/6/25 08:52PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:53PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:53PM] Vibes used command ::upgrade | Player rights = RUBY_DONATOR	
[10/6/25 08:59PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 09:02PM] Vibes used command ::sp | Player rights = RUBY_DONATOR	
[10/6/25 09:02PM] Vibes used command ::bp | Player rights = RUBY_DONATOR	
[10/6/25 09:03PM] Vibes used command ::daily | Player rights = RUBY_DONATOR	
[10/6/25 09:22PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 03:15PM] Vibes used command ::home | Player rights = RUBY_DONATOR	
[10/7/25 03:15PM] Vibes used command ::home | Player rights = RUBY_DONATOR	
[10/7/25 03:15PM] Vibes used command ::dz | Player rights = RUBY_DONATOR	
[10/7/25 03:15PM] Vibes used command ::rubyzone | Player rights = RUBY_DONATOR	
[10/7/25 03:16PM] Vibes used command ::vote | Player rights = RUBY_DONATOR	
[10/7/25 03:17PM] Vibes used command ::voted | Player rights = RUBY_DONATOR	
[10/7/25 03:17PM] Vibes used command ::Claim | Player rights = RUBY_DONATOR	
[10/7/25 03:24PM] Vibes used command ::naraku | Player rights = RUBY_DONATOR	
[10/7/25 03:25PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 03:25PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 03:25PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 03:25PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 03:26PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 03:26PM] Vibes used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 03:27PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 03:27PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 03:28PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 03:28PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 03:28PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 03:29PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 03:29PM] Vibes used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 03:31PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 03:34PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 03:34PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 03:35PM] Vibes used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 03:35PM] Vibes used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 03:36PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 06:49PM] Vibes used command ::vote | Player rights = RUBY_DONATOR	
[10/7/25 06:49PM] Vibes used command ::voted | Player rights = RUBY_DONATOR	
[10/7/25 06:51PM] Vibes used command ::rubyzone | Player rights = RUBY_DONATOR	
[10/7/25 06:51PM] Vibes used command ::rubyzone | Player rights = RUBY_DONATOR	
[10/7/25 06:51PM] Vibes used command ::ruby | Player rights = RUBY_DONATOR	
[10/7/25 06:51PM] Vibes used command ::diamond | Player rights = RUBY_DONATOR	
[10/7/25 06:51PM] Vibes used command ::black | Player rights = RUBY_DONATOR	
[10/7/25 06:51PM] Vibes used command ::dzcommands | Player rights = RUBY_DONATOR	
[10/7/25 06:51PM] Vibes used command ::dcommands | Player rights = RUBY_DONATOR	
[10/7/25 06:57PM] Vibes used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 06:57PM] Vibes used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 07:00PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:01PM] Vibes used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 07:01PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:06PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:06PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:07PM] Vibes used command ::::nephilim | Player rights = RUBY_DONATOR	
[10/7/25 07:07PM] Vibes used command ::nephilim | Player rights = RUBY_DONATOR	
[10/7/25 07:08PM] Vibes used command ::vote | Player rights = RUBY_DONATOR	
[10/7/25 07:09PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:11PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:12PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:13PM] Vibes used command ::dropparty | Player rights = RUBY_DONATOR	
[10/7/25 07:13PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:26PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:26PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:28PM] Vibes used command ::dk | Player rights = RUBY_DONATOR	
[10/7/25 07:28PM] Vibes used command ::onyx | Player rights = RUBY_DONATOR	
[10/7/25 07:28PM] Vibes used command ::oxyn | Player rights = RUBY_DONATOR	
[10/7/25 07:28PM] Vibes used command ::commands | Player rights = RUBY_DONATOR	
[10/7/25 07:28PM] Vibes used command ::event | Player rights = RUBY_DONATOR	
[10/7/25 07:30PM] Vibes used command ::upgrade | Player rights = RUBY_DONATOR	
[10/7/25 07:34PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:39PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:48PM] Vibes used command ::dk | Player rights = RUBY_DONATOR	
[10/8/25 07:45PM] Vibes used command ::vote | Player rights = RUBY_DONATOR	
[10/8/25 07:45PM] Vibes used command ::voted | Player rights = RUBY_DONATOR	
[10/8/25 07:46PM] Vibes used command ::voted | Player rights = RUBY_DONATOR	
[10/8/25 07:46PM] Vibes used command ::sp | Player rights = RUBY_DONATOR	
[10/8/25 07:46PM] Vibes used command ::sp | Player rights = RUBY_DONATOR	
[10/8/25 07:46PM] Vibes used command ::pass | Player rights = RUBY_DONATOR	
[10/8/25 07:46PM] Vibes used command ::bp | Player rights = RUBY_DONATOR	
[10/8/25 07:47PM] Vibes used command ::voted | Player rights = RUBY_DONATOR	
[10/8/25 07:48PM] Vibes used command ::shops | Player rights = RUBY_DONATOR	
[10/8/25 07:49PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 07:51PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 07:52PM] Vibes used command ::dr | Player rights = RUBY_DONATOR	
[10/8/25 07:54PM] Vibes used command ::answer 25 | Player rights = RUBY_DONATOR	
[10/8/25 07:55PM] Vibes used command ::daily | Player rights = RUBY_DONATOR	
[10/8/25 07:56PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:04PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:04PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:10PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:10PM] Vibes used command ::daily | Player rights = RUBY_DONATOR	
[10/8/25 08:12PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:15PM] Vibes used command ::chests | Player rights = RUBY_DONATOR	
[10/8/25 08:15PM] Vibes used command ::bp | Player rights = RUBY_DONATOR	
[10/8/25 08:20PM] Vibes used command ::answer '0k0k02k02kd2d' | Player rights = RUBY_DONATOR	
[10/8/25 08:20PM] Vibes used command ::answer 0k0k02k02kd2d | Player rights = RUBY_DONATOR	
[10/8/25 08:25PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:28PM] Vibes used command ::shops | Player rights = RUBY_DONATOR	
[10/8/25 08:28PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:28PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:28PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:29PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:29PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:29PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:29PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:29PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:29PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:29PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:29PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:30PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:30PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:30PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:30PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:30PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:31PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:31PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:31PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:31PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:31PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:32PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:32PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:32PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:32PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:33PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:34PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:34PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:34PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:35PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:35PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:35PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:35PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:35PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:36PM] Vibes used command ::vboss | Player rights = RUBY_DONATOR	
[10/8/25 08:36PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:36PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:36PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:37PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:37PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:37PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:37PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:37PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:37PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:37PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:38PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:38PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:38PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:38PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:38PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:38PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:38PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:38PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:38PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:39PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:39PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:39PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:39PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:39PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:39PM] Vibes used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/8/25 08:39PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:39PM] Vibes used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/8/25 08:41PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:41PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:41PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:42PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:44PM] Vibes used command ::nephilim | Player rights = RUBY_DONATOR	
[10/8/25 08:45PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:46PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:46PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:46PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:47PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:47PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:47PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:47PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:48PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:48PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:48PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:48PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:48PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:48PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:48PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:49PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:49PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:49PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:49PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:49PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:50PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:50PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:50PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:50PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:50PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:50PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:51PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:51PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:51PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:51PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:51PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:51PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:51PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:51PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:52PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:52PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:52PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:52PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:53PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:53PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:53PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:53PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:54PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:54PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:54PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:54PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:54PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:54PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:54PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:54PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:54PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:55PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:55PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:55PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:55PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:55PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:55PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:56PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:56PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:56PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:56PM] Vibes used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/8/25 08:56PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:56PM] Vibes used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/8/25 08:56PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:57PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:57PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:58PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:58PM] Vibes used command ::::shops | Player rights = RUBY_DONATOR	
[10/8/25 08:59PM] Vibes used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/8/25 08:59PM] Vibes used command ::dissolveall | Player rights = RUBY_DONATOR	
