[10/6/25 05:10AM] Grand used command ::vote | Player rights = PLAYER	
[10/6/25 06:55AM] Grand used command ::bank | Player rights = DIAMOND_DONATOR	
[10/6/25 06:55AM] Grand used command ::bank | Player rights = DIAMOND_DONATOR	
[10/6/25 06:56AM] Grand used command ::bank | Player rights = DIAMOND_DONATOR	
[10/6/25 06:57AM] Grand used command ::bank | Player rights = DIAMOND_DONATOR	
[10/6/25 06:58AM] Grand used command ::bank | Player rights = DIAMOND_DONATOR	
[10/6/25 06:59AM] Grand used command ::bank | Player rights = DIAMOND_DONATOR	
[10/6/25 07:00AM] Grand used command ::bank | Player rights = DIAMOND_DONATOR	
[10/6/25 07:02AM] Grand used command ::ruby | Player rights = DIAMOND_DONATOR	
[10/6/25 07:03AM] Grand used command ::diamond | Player rights = DIAMOND_DONATOR	
[10/6/25 07:04AM] Grand used command ::bank | Player rights = DIAMOND_DONATOR	
[10/6/25 07:09AM] Grand used command ::afkboss | Player rights = DIAMOND_DONATOR	
[10/6/25 07:09AM] Grand used command ::afkboss | Player rights = DIAMOND_DONATOR	
[10/6/25 07:09AM] Grand used command ::afkboss | Player rights = DIAMOND_DONATOR	
[10/6/25 07:10AM] Grand used command ::diamond | Player rights = DIAMOND_DONATOR	
[10/6/25 07:30AM] Grand used command ::bank | Player rights = DIAMOND_DONATOR	
[10/6/25 07:37AM] Grand used command ::bank | Player rights = DIAMOND_DONATOR	
[10/6/25 07:51AM] Grand used command ::diamond | Player rights = DIAMOND_DONATOR	
[10/6/25 10:07AM] Grand used command ::bank | Player rights = DIAMOND_DONATOR	
[10/6/25 10:08AM] Grand used command ::bank | Player rights = DIAMOND_DONATOR	
[10/6/25 10:09AM] Grand used command ::bank | Player rights = DIAMOND_DONATOR	
[10/6/25 10:14AM] Grand used command ::answer r | Player rights = DIAMOND_DONATOR	
[10/6/25 10:14AM] Grand used command ::trivia | Player rights = DIAMOND_DONATOR	
[10/6/25 10:14AM] Grand used command ::question | Player rights = DIAMOND_DONATOR	
[10/6/25 10:14AM] Grand used command ::answerao10fm30mg02 | Player rights = DIAMOND_DONATOR	
[10/6/25 10:14AM] Grand used command ::answer ao10fm30mg02 | Player rights = DIAMOND_DONATOR	
[10/6/25 10:18AM] Grand used command ::iron | Player rights = DIAMOND_DONATOR	
[10/6/25 10:38AM] Grand used command ::naraku | Player rights = DIAMOND_DONATOR	
[10/6/25 10:53AM] Grand used command ::answer zookeeper | Player rights = DIAMOND_DONATOR	
[10/6/25 10:56AM] Grand used command ::diamond | Player rights = DIAMOND_DONATOR	
[10/6/25 12:03PM] Grand used command ::claim | Player rights = DIAMOND_DONATOR	
[10/7/25 12:52AM] Grand used command ::iron | Player rights = DIAMOND_DONATOR	
[10/7/25 12:52AM] Grand used command ::vote | Player rights = DIAMOND_DONATOR	
[10/7/25 12:54AM] Grand used command ::daily | Player rights = DIAMOND_DONATOR	
[10/7/25 12:55AM] Grand used command ::daily | Player rights = DIAMOND_DONATOR	
[10/7/25 12:57AM] Grand used command ::bank | Player rights = DIAMOND_DONATOR	
[10/7/25 12:57AM] Grand used command ::bank | Player rights = DIAMOND_DONATOR	
[10/7/25 12:57AM] Grand used command ::shops | Player rights = DIAMOND_DONATOR	
[10/7/25 12:58AM] Grand used command ::naraku | Player rights = DIAMOND_DONATOR	
[10/7/25 01:19AM] Grand used command ::dk | Player rights = DIAMOND_DONATOR	
[10/7/25 01:47AM] Grand used command ::diamond | Player rights = DIAMOND_DONATOR	
[10/7/25 04:50AM] Grand used command ::ironman | Player rights = DIAMOND_DONATOR	
[10/7/25 04:50AM] Grand used command ::iron | Player rights = DIAMOND_DONATOR	
[10/7/25 04:51AM] Grand used command ::ironman | Player rights = DIAMOND_DONATOR	
[10/7/25 04:57AM] Grand used command ::nm | Player rights = DIAMOND_DONATOR	
[10/7/25 05:10AM] Grand used command ::naraku | Player rights = DIAMOND_DONATOR	
[10/7/25 05:29AM] Grand used command ::dk | Player rights = DIAMOND_DONATOR	
[10/7/25 06:03AM] Grand used command ::nm | Player rights = DIAMOND_DONATOR	
[10/7/25 06:19AM] Grand used command ::iron | Player rights = DIAMOND_DONATOR	
[10/7/25 06:21AM] Grand used command ::question | Player rights = DIAMOND_DONATOR	
[10/7/25 06:21AM] Grand used command ::answer yes | Player rights = DIAMOND_DONATOR	
[10/7/25 06:34AM] Grand used command ::vboss | Player rights = DIAMOND_DONATOR	
[10/7/25 06:37AM] Grand used command ::naraku | Player rights = DIAMOND_DONATOR	
[10/7/25 06:44AM] Grand used command ::bank | Player rights = DIAMOND_DONATOR	
[10/7/25 06:45AM] Grand used command ::diamond | Player rights = DIAMOND_DONATOR	
[10/7/25 04:40PM] Grand used command ::iron | Player rights = DIAMOND_DONATOR	
[10/7/25 04:48PM] Grand used command ::bank | Player rights = DIAMOND_DONATOR	
[10/7/25 04:48PM] Grand used command ::bank | Player rights = DIAMOND_DONATOR	
[10/7/25 04:49PM] Grand used command ::afk | Player rights = DIAMOND_DONATOR	
[10/7/25 04:53PM] Grand used command ::diamond | Player rights = DIAMOND_DONATOR	
[10/7/25 04:53PM] Grand used command ::bank | Player rights = DIAMOND_DONATOR	
[10/7/25 04:59PM] Grand used command ::bank | Player rights = DIAMOND_DONATOR	
[10/7/25 05:00PM] Grand used command ::vboss | Player rights = DIAMOND_DONATOR	
[10/7/25 05:06PM] Grand used command ::vote | Player rights = DIAMOND_DONATOR	
[10/7/25 05:11PM] Grand used command ::voted | Player rights = DIAMOND_DONATOR	
[10/7/25 05:11PM] Grand used command ::donated | Player rights = DIAMOND_DONATOR	
[10/7/25 05:11PM] Grand used command ::claimvotes | Player rights = DIAMOND_DONATOR	
[10/7/25 05:14PM] Grand used command ::daily | Player rights = DIAMOND_DONATOR	
[10/7/25 05:16PM] Grand used command ::bank | Player rights = DIAMOND_DONATOR	
[10/7/25 05:18PM] Grand used command ::bank | Player rights = DIAMOND_DONATOR	
[10/7/25 05:23PM] Grand used command ::bank | Player rights = DIAMOND_DONATOR	
[10/7/25 05:23PM] Grand used command ::bank | Player rights = DIAMOND_DONATOR	
[10/7/25 05:24PM] Grand used command ::bank | Player rights = DIAMOND_DONATOR	
[10/7/25 05:25PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 05:29PM] Grand used command ::donated | Player rights = ONYX_DONATOR	
[10/7/25 05:29PM] Grand used command ::claimvotes | Player rights = ONYX_DONATOR	
[10/7/25 05:32PM] Grand used command ::Well | Player rights = ONYX_DONATOR	
[10/7/25 05:32PM] Grand used command ::perks | Player rights = ONYX_DONATOR	
[10/7/25 05:32PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 05:34PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 05:35PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 05:35PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 05:36PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 05:36PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 05:38PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 05:39PM] Grand used command ::naraku | Player rights = ONYX_DONATOR	
[10/7/25 05:48PM] Grand used command ::dk | Player rights = ONYX_DONATOR	
[10/7/25 05:48PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 05:55PM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/7/25 05:55PM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/7/25 05:55PM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/7/25 05:55PM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/7/25 05:56PM] Grand used command ::ironman | Player rights = ONYX_DONATOR	
[10/7/25 05:56PM] Grand used command ::daily | Player rights = ONYX_DONATOR	
[10/7/25 05:57PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 05:57PM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/7/25 05:57PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 05:57PM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/7/25 05:57PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 05:58PM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/7/25 05:58PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 05:58PM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/7/25 05:58PM] Grand used command ::onyx | Player rights = ONYX_DONATOR	
[10/7/25 05:59PM] Grand used command ::nephilim | Player rights = ONYX_DONATOR	
[10/7/25 06:02PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 06:08PM] Grand used command ::daily | Player rights = ONYX_DONATOR	
[10/7/25 06:09PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 06:12PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 06:14PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 06:16PM] Grand used command ::nephilim | Player rights = ONYX_DONATOR	
[10/7/25 06:19PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 06:20PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 06:20PM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/7/25 06:21PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 06:21PM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/7/25 06:21PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 06:21PM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/7/25 06:21PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 06:21PM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/7/25 06:21PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 06:21PM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/7/25 06:21PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 06:21PM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/7/25 06:21PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 06:22PM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/7/25 06:22PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 06:22PM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/7/25 06:22PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 06:22PM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/7/25 06:22PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 06:22PM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/7/25 06:28PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 06:29PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 06:30PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 06:31PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 06:31PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 06:31PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 06:31PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 06:32PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 06:33PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 06:33PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 06:34PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 06:34PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 06:35PM] Grand used command ::nm | Player rights = ONYX_DONATOR	
[10/7/25 06:39PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 06:39PM] Grand used command ::naraku | Player rights = ONYX_DONATOR	
[10/7/25 06:44PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 06:45PM] Grand used command ::dk | Player rights = ONYX_DONATOR	
[10/7/25 06:51PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 06:52PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 06:52PM] Grand used command ::Shops | Player rights = ONYX_DONATOR	
[10/7/25 06:53PM] Grand used command ::oldhome | Player rights = ONYX_DONATOR	
[10/7/25 06:55PM] Grand used command ::junk | Player rights = ONYX_DONATOR	
[10/7/25 06:55PM] Grand used command ::junks | Player rights = ONYX_DONATOR	
[10/7/25 06:58PM] Grand used command ::onyx | Player rights = ONYX_DONATOR	
[10/7/25 07:06PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 07:07PM] Grand used command ::nephilim | Player rights = ONYX_DONATOR	
[10/7/25 07:13PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/7/25 07:13PM] Grand used command ::dropparty | Player rights = ONYX_DONATOR	
[10/7/25 07:26PM] Grand used command ::platinum | Player rights = ONYX_DONATOR	
[10/7/25 07:26PM] Grand used command ::onyx | Player rights = ONYX_DONATOR	
[10/8/25 02:45AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/8/25 02:45AM] Grand used command ::daily | Player rights = ONYX_DONATOR	
[10/8/25 02:46AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/8/25 02:54AM] Grand used command ::iron | Player rights = ONYX_DONATOR	
[10/8/25 03:00AM] Grand used command ::nm | Player rights = ONYX_DONATOR	
[10/8/25 03:05AM] Grand used command ::nm | Player rights = ONYX_DONATOR	
[10/8/25 03:11AM] Grand used command ::naraku | Player rights = ONYX_DONATOR	
[10/8/25 03:16AM] Grand used command ::dk | Player rights = ONYX_DONATOR	
[10/8/25 03:36AM] Grand used command ::onyx | Player rights = ONYX_DONATOR	
[10/8/25 03:55AM] Grand used command ::daily | Player rights = ONYX_DONATOR	
[10/8/25 03:55AM] Grand used command ::onyx | Player rights = ONYX_DONATOR	
[10/8/25 03:55AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/8/25 05:01AM] Grand used command ::hellraiser | Player rights = ONYX_DONATOR	
[10/8/25 05:01AM] Grand used command ::hellraiser | Player rights = ONYX_DONATOR	
[10/8/25 05:23AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/8/25 05:24AM] Grand used command ::iron | Player rights = ONYX_DONATOR	
[10/8/25 05:44AM] Grand used command ::naraku | Player rights = ONYX_DONATOR	
[10/8/25 06:01AM] Grand used command ::dk | Player rights = ONYX_DONATOR	
[10/8/25 06:22AM] Grand used command ::onyx | Player rights = ONYX_DONATOR	
[10/8/25 04:48PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/8/25 04:48PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/8/25 04:49PM] Grand used command ::iron | Player rights = ONYX_DONATOR	
[10/8/25 04:49PM] Grand used command ::onyc | Player rights = ONYX_DONATOR	
[10/8/25 04:49PM] Grand used command ::onyx | Player rights = ONYX_DONATOR	
[10/8/25 04:49PM] Grand used command ::dk | Player rights = ONYX_DONATOR	
[10/8/25 05:01PM] Grand used command ::answer 100 | Player rights = ONYX_DONATOR	
[10/8/25 05:01PM] Grand used command ::answer 100$ | Player rights = ONYX_DONATOR	
[10/8/25 05:01PM] Grand used command ::answer 50 | Player rights = ONYX_DONATOR	
[10/8/25 05:01PM] Grand used command ::answer 50$ | Player rights = ONYX_DONATOR	
[10/8/25 05:01PM] Grand used command ::answer 25 | Player rights = ONYX_DONATOR	
[10/8/25 05:01PM] Grand used command ::answer 25$ | Player rights = ONYX_DONATOR	
[10/8/25 05:01PM] Grand used command ::answer 20 | Player rights = ONYX_DONATOR	
[10/8/25 05:01PM] Grand used command ::answer 20$ | Player rights = ONYX_DONATOR	
[10/8/25 05:01PM] Grand used command ::answer 10 | Player rights = ONYX_DONATOR	
[10/8/25 05:01PM] Grand used command ::answer 10$ | Player rights = ONYX_DONATOR	
[10/8/25 05:02PM] Grand used command ::naraku | Player rights = ONYX_DONATOR	
[10/8/25 05:02PM] Grand used command ::well | Player rights = ONYX_DONATOR	
[10/8/25 05:02PM] Grand used command ::perk | Player rights = ONYX_DONATOR	
[10/8/25 05:02PM] Grand used command ::perks | Player rights = ONYX_DONATOR	
[10/8/25 05:02PM] Grand used command ::answer 200$ | Player rights = ONYX_DONATOR	
[10/8/25 05:02PM] Grand used command ::answer 200 | Player rights = ONYX_DONATOR	
[10/8/25 05:02PM] Grand used command ::answer 250 | Player rights = ONYX_DONATOR	
[10/8/25 05:03PM] Grand used command ::answer 250$ | Player rights = ONYX_DONATOR	
[10/8/25 05:03PM] Grand used command ::answer 500 | Player rights = ONYX_DONATOR	
[10/8/25 05:03PM] Grand used command ::answer 500$ | Player rights = ONYX_DONATOR	
[10/8/25 05:03PM] Grand used command ::answer 50 $ | Player rights = ONYX_DONATOR	
[10/8/25 05:03PM] Grand used command ::answer 25 $ | Player rights = ONYX_DONATOR	
[10/8/25 05:03PM] Grand used command ::answer 1000 | Player rights = ONYX_DONATOR	
[10/8/25 05:03PM] Grand used command ::answer 1000$ | Player rights = ONYX_DONATOR	
[10/8/25 05:04PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/8/25 05:06PM] Grand used command ::naraku | Player rights = ONYX_DONATOR	
[10/8/25 05:45PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/8/25 05:46PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/8/25 05:48PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/8/25 05:49PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/8/25 05:50PM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:04AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:05AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:05AM] Grand used command ::daily | Player rights = ONYX_DONATOR	
[10/9/25 04:08AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:08AM] Grand used command ::iron | Player rights = ONYX_DONATOR	
[10/9/25 04:08AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:13AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:14AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:15AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:16AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:16AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:16AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:17AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:17AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:17AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:17AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:17AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:22AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:23AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:23AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:24AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:25AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:25AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:25AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:25AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:25AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:26AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:26AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:26AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:26AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:27AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:27AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:27AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:27AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:27AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:27AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:28AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:28AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:28AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:28AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:29AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:29AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:29AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:29AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:29AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:29AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:29AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:29AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:29AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:29AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:30AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:30AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:30AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:30AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:30AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:30AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:30AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:30AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:30AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:30AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:30AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:30AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:31AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:31AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:31AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:31AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:31AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:31AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:31AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:32AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:32AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:32AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:32AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:32AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:32AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:32AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:32AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:32AM] Grand used command ::dissolveall | Player rights = ONYX_DONATOR	
[10/9/25 04:32AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:33AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:34AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:34AM] Grand used command ::naraku | Player rights = ONYX_DONATOR	
[10/9/25 04:35AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 04:44AM] Grand used command ::naraku | Player rights = ONYX_DONATOR	
[10/9/25 04:56AM] Grand used command ::hellraiser | Player rights = ONYX_DONATOR	
[10/9/25 05:03AM] Grand used command ::onyx | Player rights = ONYX_DONATOR	
[10/9/25 05:19AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 05:28AM] Grand used command ::bank | Player rights = ONYX_DONATOR	
[10/9/25 05:28AM] Grand used command ::perks | Player rights = ONYX_DONATOR	
[10/9/25 05:30AM] Grand used command ::vboss | Player rights = ONYX_DONATOR	
[10/9/25 05:31AM] Grand used command ::mass | Player rights = ONYX_DONATOR	
[10/9/25 05:31AM] Grand used command ::dboss | Player rights = ONYX_DONATOR	
[10/9/25 05:31AM] Grand used command ::donoboss | Player rights = ONYX_DONATOR	
