[10/7/25 11:51AM] Thecyb used command ::ref | Player rights = PLAYER	
[10/8/25 10:48AM] Thecyb used command ::ironamn | Player rights = EMERALD_DONATOR	
[10/8/25 10:48AM] Thecyb used command ::ironman | Player rights = EMERALD_DONATOR	
[10/8/25 10:50AM] Thecyb used command ::emerald | Player rights = EMERALD_DONATOR	
[10/8/25 11:51AM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:05PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:05PM] Thecyb used command ::voted | Player rights = EMERALD_DONATOR	
[10/8/25 12:06PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:07PM] Thecyb used command ::Daily | Player rights = EMERALD_DONATOR	
[10/9/25 12:03PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 12:04PM] Thecyb used command ::Startertasks | Player rights = EMERALD_DONATOR	
[10/9/25 12:15PM] Thecyb used command ::dailytasks | Player rights = EMERALD_DONATOR	
[10/9/25 12:15PM] Thecyb used command ::voted | Player rights = EMERALD_DONATOR	
[10/9/25 12:18PM] Thecyb used command ::daily | Player rights = EMERALD_DONATOR	
[10/9/25 12:20PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 12:20PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 12:21PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 12:21PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 12:22PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 12:23PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 12:23PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 12:24PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 12:25PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 12:25PM] Thecyb used command ::iron | Player rights = EMERALD_DONATOR	
[10/9/25 12:26PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 12:26PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 12:27PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 12:27PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 12:28PM] Thecyb used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/9/25 12:28PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 12:28PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 12:29PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 12:31PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 12:36PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 12:36PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 12:36PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 12:36PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 12:49PM] Thecyb used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/9/25 12:50PM] Thecyb used command ::Startertasks | Player rights = EMERALD_DONATOR	
[10/9/25 12:50PM] Thecyb used command ::Startertasks | Player rights = EMERALD_DONATOR	
[10/9/25 12:50PM] Thecyb used command ::Startertasks | Player rights = EMERALD_DONATOR	
[10/9/25 12:57PM] Thecyb used command ::Bm | Player rights = EMERALD_DONATOR	
[10/9/25 12:58PM] Thecyb used command ::leavraids | Player rights = EMERALD_DONATOR	
[10/9/25 12:58PM] Thecyb used command ::Exit | Player rights = EMERALD_DONATOR	
[10/9/25 12:58PM] Thecyb used command ::leave | Player rights = EMERALD_DONATOR	
[10/9/25 12:58PM] Thecyb used command ::die | Player rights = EMERALD_DONATOR	
[10/9/25 12:58PM] Thecyb used command ::nm | Player rights = EMERALD_DONATOR	
[10/9/25 01:22PM] Thecyb used command ::Well | Player rights = EMERALD_DONATOR	
[10/9/25 01:22PM] Thecyb used command ::Edge | Player rights = EMERALD_DONATOR	
[10/9/25 01:22PM] Thecyb used command ::edgeville | Player rights = EMERALD_DONATOR	
[10/9/25 01:23PM] Thecyb used command ::perks | Player rights = EMERALD_DONATOR	
[10/9/25 01:24PM] Thecyb used command ::donate | Player rights = EMERALD_DONATOR	
[10/9/25 01:25PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 01:27PM] Thecyb used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/9/25 01:27PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 01:28PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 01:29PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 01:30PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 01:31PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 01:31PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 01:31PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 01:32PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 01:33PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 01:38PM] Thecyb used command ::daily | Player rights = EMERALD_DONATOR	
[10/9/25 01:39PM] Thecyb used command ::beginnertasks | Player rights = EMERALD_DONATOR	
[10/9/25 01:39PM] Thecyb used command ::startertasks | Player rights = EMERALD_DONATOR	
[10/9/25 01:42PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 01:43PM] Thecyb used command ::startertasks | Player rights = EMERALD_DONATOR	
[10/9/25 01:44PM] Thecyb used command ::Startertasks | Player rights = EMERALD_DONATOR	
[10/9/25 01:44PM] Thecyb used command ::Startertasks | Player rights = EMERALD_DONATOR	
[10/9/25 01:45PM] Thecyb used command ::Startertasks | Player rights = EMERALD_DONATOR	
[10/9/25 01:46PM] Thecyb used command ::Startertasks | Player rights = EMERALD_DONATOR	
[10/9/25 01:47PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 01:48PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 01:48PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 01:49PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 01:49PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 01:49PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 01:49PM] Thecyb used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/9/25 01:49PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 01:49PM] Thecyb used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/9/25 01:49PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 01:49PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 01:49PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 01:49PM] Thecyb used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/9/25 01:49PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 01:49PM] Thecyb used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/9/25 01:49PM] Thecyb used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/9/25 01:49PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 01:49PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 01:50PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 01:50PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 01:50PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 01:50PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 01:50PM] Thecyb used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/9/25 01:50PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/10/25 09:43AM] Thecyb used command ::vboss | Player rights = EMERALD_DONATOR	
[10/10/25 09:44AM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/10/25 09:46AM] Thecyb used command ::Daily | Player rights = EMERALD_DONATOR	
[10/10/25 09:47AM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/10/25 09:48AM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/10/25 09:49AM] Thecyb used command ::iron | Player rights = EMERALD_DONATOR	
[10/10/25 09:50AM] Thecyb used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/10/25 09:54AM] Thecyb used command ::iron | Player rights = EMERALD_DONATOR	
[10/10/25 09:57AM] Thecyb used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/10/25 09:58AM] Thecyb used command ::ironman | Player rights = EMERALD_DONATOR	
[10/10/25 09:58AM] Thecyb used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/10/25 10:00AM] Thecyb used command ::slayerboss | Player rights = EMERALD_DONATOR	
[10/10/25 10:03AM] Thecyb used command ::iron | Player rights = EMERALD_DONATOR	
[10/10/25 10:04AM] Thecyb used command ::nm | Player rights = EMERALD_DONATOR	
[10/10/25 10:06AM] Thecyb used command ::iron | Player rights = EMERALD_DONATOR	
[10/10/25 10:07AM] Thecyb used command ::narku | Player rights = EMERALD_DONATOR	
[10/10/25 10:07AM] Thecyb used command ::naraku | Player rights = EMERALD_DONATOR	
[10/10/25 10:58AM] Thecyb used command ::Dropparty | Player rights = EMERALD_DONATOR	
[10/10/25 11:06AM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/10/25 11:07AM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/10/25 11:10AM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/10/25 11:14AM] Thecyb used command ::startertasks | Player rights = EMERALD_DONATOR	
[10/10/25 11:15AM] Thecyb used command ::perks | Player rights = EMERALD_DONATOR	
[10/10/25 11:15AM] Thecyb used command ::startertasks | Player rights = EMERALD_DONATOR	
[10/10/25 11:16AM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/10/25 02:17PM] Thecyb used command ::voted | Player rights = EMERALD_DONATOR	
[10/10/25 02:18PM] Thecyb used command ::reward 1 | Player rights = EMERALD_DONATOR	
[10/10/25 02:31PM] Thecyb used command ::Startertasks | Player rights = EMERALD_DONATOR	
[10/10/25 02:32PM] Thecyb used command ::Startertasks | Player rights = EMERALD_DONATOR	
[10/10/25 02:32PM] Thecyb used command ::legends | Player rights = EMERALD_DONATOR	
[10/10/25 02:33PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/10/25 02:35PM] Thecyb used command ::startertaid | Player rights = EMERALD_DONATOR	
[10/10/25 02:35PM] Thecyb used command ::startertasks | Player rights = EMERALD_DONATOR	
[10/10/25 02:35PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/10/25 02:36PM] Thecyb used command ::maxhit | Player rights = EMERALD_DONATOR	
[10/10/25 02:46PM] Thecyb used command ::slayer | Player rights = EMERALD_DONATOR	
[10/10/25 02:46PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/10/25 02:46PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/10/25 02:47PM] Thecyb used command ::Dr | Player rights = EMERALD_DONATOR	
[10/10/25 02:47PM] Thecyb used command ::DAily | Player rights = EMERALD_DONATOR	
[10/10/25 02:48PM] Thecyb used command ::iron | Player rights = EMERALD_DONATOR	
[10/10/25 02:52PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/10/25 02:53PM] Thecyb used command ::donate | Player rights = EMERALD_DONATOR	
[10/10/25 02:55PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/10/25 02:55PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/10/25 02:56PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/10/25 02:56PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/10/25 02:56PM] Thecyb used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/10/25 02:56PM] Thecyb used command ::dissolvebank | Player rights = EMERALD_DONATOR	
[10/10/25 02:56PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/10/25 02:57PM] Thecyb used command ::onyx | Player rights = EMERALD_DONATOR	
[10/10/25 02:57PM] Thecyb used command ::platinum | Player rights = EMERALD_DONATOR	
[10/10/25 02:59PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/10/25 03:06PM] Thecyb used command ::home | Player rights = EMERALD_DONATOR	
[10/10/25 10:30PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/10/25 10:30PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/10/25 10:32PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 12:51PM] Thecyb used command ::Daily | Player rights = EMERALD_DONATOR	
[10/12/25 12:52PM] Thecyb used command ::dk | Player rights = EMERALD_DONATOR	
[10/12/25 12:54PM] Thecyb used command ::Daily | Player rights = EMERALD_DONATOR	
[10/12/25 12:54PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 01:02PM] Thecyb used command ::dk | Player rights = EMERALD_DONATOR	
[10/12/25 01:13PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:01PM] Thecyb used command ::afk | Player rights = EMERALD_DONATOR	
[10/12/25 02:01PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:02PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:03PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:03PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:04PM] Thecyb used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/12/25 02:04PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:04PM] Thecyb used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/12/25 02:04PM] Thecyb used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/12/25 02:04PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:04PM] Thecyb used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/12/25 02:04PM] Thecyb used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/12/25 02:04PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:04PM] Thecyb used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/12/25 02:04PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:04PM] Thecyb used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/12/25 02:04PM] Thecyb used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/12/25 02:04PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:04PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:04PM] Thecyb used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/12/25 02:04PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:05PM] Thecyb used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/12/25 02:05PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:05PM] Thecyb used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/12/25 02:05PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:05PM] Thecyb used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/12/25 02:05PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:05PM] Thecyb used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/12/25 02:05PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:05PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:05PM] Thecyb used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/12/25 02:05PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:05PM] Thecyb used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/12/25 02:06PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:06PM] Thecyb used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/12/25 02:06PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:07PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:07PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:08PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:08PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:08PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:08PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:08PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:08PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:09PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:09PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:09PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:09PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:10PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:10PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:12PM] Thecyb used command ::Afk | Player rights = EMERALD_DONATOR	
[10/12/25 02:12PM] Thecyb used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/12/25 02:13PM] Thecyb used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/12/25 02:13PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:13PM] Thecyb used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/12/25 02:13PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:13PM] Thecyb used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/12/25 02:14PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:14PM] Thecyb used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/12/25 02:15PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:16PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:16PM] Thecyb used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/12/25 02:16PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:16PM] Thecyb used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/12/25 02:16PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:16PM] Thecyb used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/12/25 02:17PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:17PM] Thecyb used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/12/25 02:17PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:17PM] Thecyb used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/12/25 02:18PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/12/25 02:18PM] Thecyb used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/12/25 02:20PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
