[10/6/25 07:43PM] You used command ::vote | Player rights = PLAYER	
[10/8/25 09:10AM] You used command ::eventroom | Player rights = DIAMOND_DONATOR	
[10/8/25 09:10AM] You used command ::event | Player rights = DIAMOND_DONATOR	
[10/8/25 09:17AM] You used command ::bossevent | Player rights = DIAMOND_DONATOR	
[10/8/25 09:17AM] You used command ::bossevent | Player rights = DIAMOND_DONATOR	
[10/8/25 09:19AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 09:20AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 09:20AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 09:30AM] You used command ::szone | Player rights = DIAMOND_DONATOR	
[10/8/25 09:31AM] You used command ::vboss | Player rights = DIAMOND_DONATOR	
[10/8/25 09:37AM] You used command ::is there donator zones? | Player rights = DIAMOND_DONATOR	
[10/8/25 09:47AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 09:49AM] You used command ::sz | Player rights = DIAMOND_DONATOR	
[10/8/25 09:49AM] You used command ::dz | Player rights = DIAMOND_DONATOR	
[10/8/25 09:49AM] You used command ::commands | Player rights = DIAMOND_DONATOR	
[10/8/25 09:49AM] You used command ::upgrade | Player rights = DIAMOND_DONATOR	
[10/8/25 09:50AM] You used command ::commands | Player rights = DIAMOND_DONATOR	
[10/8/25 09:52AM] You used command ::daily | Player rights = DIAMOND_DONATOR	
[10/8/25 09:52AM] You used command ::sp | Player rights = DIAMOND_DONATOR	
[10/8/25 09:54AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 09:54AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 09:56AM] You used command ::szone | Player rights = DIAMOND_DONATOR	
[10/8/25 09:57AM] You used command ::diamondzone | Player rights = DIAMOND_DONATOR	
[10/8/25 09:57AM] You used command ::superzone | Player rights = DIAMOND_DONATOR	
[10/8/25 10:06AM] You used command ::supremezone | Player rights = DIAMOND_DONATOR	
[10/8/25 10:06AM] You used command ::sz | Player rights = DIAMOND_DONATOR	
[10/8/25 10:06AM] You used command ::szone | Player rights = DIAMOND_DONATOR	
[10/8/25 10:06AM] You used command ::silverzone | Player rights = DIAMOND_DONATOR	
[10/8/25 10:06AM] You used command ::sapphirezone | Player rights = DIAMOND_DONATOR	
[10/8/25 10:06AM] You used command ::sapzone | Player rights = DIAMOND_DONATOR	
[10/8/25 10:07AM] You used command ::teleport | Player rights = DIAMOND_DONATOR	
[10/8/25 10:17AM] You used command ::emerald | Player rights = DIAMOND_DONATOR	
[10/8/25 10:19AM] You used command ::diamond | Player rights = DIAMOND_DONATOR	
[10/8/25 10:21AM] You used command ::platinum | Player rights = DIAMOND_DONATOR	
[10/8/25 10:21AM] You used command ::plat | Player rights = DIAMOND_DONATOR	
[10/8/25 10:21AM] You used command ::ruby | Player rights = DIAMOND_DONATOR	
[10/8/25 10:23AM] You used command ::emerald | Player rights = DIAMOND_DONATOR	
[10/8/25 10:24AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 10:26AM] You used command ::nm | Player rights = DIAMOND_DONATOR	
[10/8/25 10:39AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 10:53AM] You used command ::Afk | Player rights = DIAMOND_DONATOR	
[10/8/25 10:54AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 10:54AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 10:55AM] You used command ::afk | Player rights = DIAMOND_DONATOR	
[10/8/25 10:55AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 10:56AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 10:56AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 10:57AM] You used command ::afk | Player rights = DIAMOND_DONATOR	
[10/8/25 07:45PM] You used command ::vote | Player rights = DIAMOND_DONATOR	
[10/8/25 07:46PM] You used command ::voted | Player rights = DIAMOND_DONATOR	
[10/8/25 07:46PM] You used command ::auth | Player rights = DIAMOND_DONATOR	
[10/8/25 07:46PM] You used command ::redeem | Player rights = DIAMOND_DONATOR	
[10/8/25 07:47PM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 07:47PM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 07:48PM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 07:50PM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 07:50PM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 07:56PM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 07:59PM] You used command ::guides | Player rights = DIAMOND_DONATOR	
[10/8/25 08:00PM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 08:00PM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 08:05PM] You used command ::diamond | Player rights = DIAMOND_DONATOR	
[10/8/25 08:12PM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 08:14PM] You used command ::global | Player rights = DIAMOND_DONATOR	
[10/8/25 08:16PM] You used command ::diamond | Player rights = DIAMOND_DONATOR	
[10/8/25 08:16PM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/9/25 08:59AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/9/25 09:08AM] You used command ::answer uranus | Player rights = DIAMOND_DONATOR	
[10/9/25 09:10AM] You used command ::forge | Player rights = DIAMOND_DONATOR	
[10/9/25 09:10AM] You used command ::pap | Player rights = DIAMOND_DONATOR	
[10/9/25 09:10AM] You used command ::infuse | Player rights = DIAMOND_DONATOR	
[10/9/25 09:16AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/9/25 09:17AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/9/25 09:23AM] You used command ::platinum | Player rights = DIAMOND_DONATOR	
[10/9/25 09:23AM] You used command ::platinum | Player rights = DIAMOND_DONATOR	
[10/9/25 09:23AM] You used command ::okatubyn | Player rights = DIAMOND_DONATOR	
[10/9/25 09:23AM] You used command ::platinum | Player rights = DIAMOND_DONATOR	
[10/9/25 09:24AM] You used command ::bossevent | Player rights = DIAMOND_DONATOR	
[10/9/25 09:24AM] You used command ::bossevents | Player rights = DIAMOND_DONATOR	
[10/9/25 09:24AM] You used command ::bossevent | Player rights = DIAMOND_DONATOR	
[10/9/25 09:24AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/9/25 09:25AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/9/25 09:48AM] You used command ::answer ancient | Player rights = DIAMOND_DONATOR	
[10/9/25 09:48AM] You used command ::answer chaps | Player rights = DIAMOND_DONATOR	
[10/9/25 09:48AM] You used command ::platinum | Player rights = DIAMOND_DONATOR	
[10/9/25 09:48AM] You used command ::plat | Player rights = DIAMOND_DONATOR	
[10/9/25 09:48AM] You used command ::diamond | Player rights = DIAMOND_DONATOR	
[10/9/25 11:24AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/9/25 11:26AM] You used command ::afk | Player rights = DIAMOND_DONATOR	
[10/9/25 11:26AM] You used command ::shops | Player rights = DIAMOND_DONATOR	
[10/9/25 11:26AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/9/25 11:27AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/9/25 11:28AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/9/25 11:29AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/9/25 11:29AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/9/25 11:34AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/9/25 11:58AM] You used command ::platinum | Player rights = DIAMOND_DONATOR	
[10/9/25 12:06PM] You used command ::startertasks | Player rights = DIAMOND_DONATOR	
[10/9/25 12:08PM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/9/25 12:13PM] You used command ::rward  | Player rights = DIAMOND_DONATOR	
[10/9/25 12:21PM] You used command ::diamnd | Player rights = DIAMOND_DONATOR	
[10/9/25 12:21PM] You used command ::diamond | Player rights = DIAMOND_DONATOR	
[10/9/25 08:08PM] You used command ::globals | Player rights = DIAMOND_DONATOR	
[10/9/25 08:35PM] You used command ::diamond | Player rights = DIAMOND_DONATOR	
[10/9/25 08:35PM] You used command ::bank | Player rights = DIAMOND_DONATOR	
