[10/5/25 07:10AM] Sender: Hank, Message: Sup spoon	
[10/7/25 12:12AM] Sender: Dox, Message: Yeah seen that	
[10/7/25 12:13AM] Sender: Delicious, Message: Does claiming votes work for you?	
[10/7/25 12:13AM] Sender: Dox, Message: Do ::claim	
[10/7/25 12:13AM] Sender: Delicious, Message: Nothing happens	
[10/7/25 12:13AM] Sender: Delicious, Message: But ::vote doesnt need a username for votin	
[10/7/25 12:13AM] Sender: Delicious, Message: So idk maybe thats wrong link	
[10/7/25 12:14AM] Sender: Dox, Message: Nah it's linked to your account when doing ::vote	
[10/7/25 12:14AM] Sender: Delicious, Message: It just sends me to the toplist of runelocus	
[10/7/25 12:15AM] Sender: Dox, Message: Yeah the levincia rulocus voting page	
[10/7/25 12:16AM] Sender: Dox, Message: Worked for me so idk	
[10/7/25 12:16AM] Sender: Delicious, Message: Hmmm	
[10/7/25 12:20AM] Sender: Ghijf, Message: Hi	
[10/7/25 12:20AM] Sender: Ghijf, Message: How to toggle these lvl messages off	
[10/7/25 12:21AM] Sender: Dox, Message: Settings	
[10/7/25 12:21AM] Sender: Ghijf, Message: Oh damn my bad l0l i went over it	
[10/7/25 12:22AM] Sender: Ghijf, Message: Na doesn't work	
[10/7/25 12:22AM] Sender: Ghijf, Message: Still getting thesde messages	
[10/7/25 12:30AM] Sender: Ghijf, Message: I voted how i claim	
[10/7/25 12:30AM] Sender: Delicious, Message: Should be ::claim or ::voted but didnt work for me	
[10/7/25 12:33AM] Sender: Ghijf, Message: Allowed to have an afk acc? or is there no afk zone	
[10/7/25 01:38AM] Sender: Ghijf, Message: Hank u here	
[10/7/25 01:50AM] Sender: Ghijf, Message: Where are dinos	
[10/7/25 01:51AM] Sender: Dox, Message: Dinos for what	
[10/7/25 01:51AM] Sender: Ghijf, Message: Slayer	
[10/7/25 01:51AM] Sender: Dox, Message: Rub a slayer ring	
[10/7/25 01:51AM] Sender: Dox, Message: Or tele to slayer dungeons	
[10/7/25 04:43AM] Sender: Delicious, Message: Global bosses got so many hp	
[10/7/25 05:45AM] Sender: Gudekompleks, Message: Yoyoyoyo	
[10/7/25 06:06AM] Sender: Delicious, Message: Tyvm	
[10/7/25 06:06AM] Sender: Delicious, Message: Btw is this in beta?	
[10/7/25 06:06AM] Sender: Hank, Message: Yw and yes	
[10/7/25 06:06AM] Sender: Delicious, Message: Will there be reset?	
[10/7/25 06:16AM] Sender: Hank, Message: Wb spoon	
[10/7/25 06:17AM] Sender: Hank, Message: I will be fixing the claim vote today	
[10/7/25 06:17AM] Sender: Hank, Message: Ill give out vote scrolls untill its fixed	
[10/7/25 06:19AM] Sender: Delicious, Message: Ive voted already	
[10/7/25 06:20AM] Sender: Grand, Message: Lets go..til spawn hellriseer	
[10/7/25 06:23AM] Sender: Delicious, Message: How does the quest work hank	
[10/7/25 06:23AM] Sender: Delicious, Message: I killed 50 mobs but doesnt let me finish	
[10/7/25 06:24AM] Sender: Delicious, Message: Nvm got it	
[10/7/25 06:30AM] Sender: Hank, Message: Sorry was working on updates	
[10/7/25 06:31AM] Sender: Delicious, Message: Wheres king ronald	
[10/7/25 06:31AM] Sender: Hank, Message: Where you started the quest	
[10/7/25 06:31AM] Sender: Hank, Message: In the portal	
[10/7/25 06:31AM] Sender: Delicious, Message: What portal	
[10/7/25 06:35AM] Sender: Hank, Message: 1 more spawn	
[10/7/25 06:38AM] Sender: Delicious, Message: Says i cant enter the portal	
[10/7/25 06:39AM] Sender: Hank, Message: Ye	
[10/7/25 06:55AM] Sender: Gudekompleks, Message: Collector ring does the same as collector necklace?	
[10/7/25 06:55AM] Sender: Hank, Message: Yes	
[10/7/25 06:55AM] Sender: Gudekompleks, Message: So it's a waste to have both, if i have a better necklace	
[10/7/25 06:55AM] Sender: Gudekompleks, Message: Or do they have charges like the starter one?	
[10/7/25 06:55AM] Sender: Hank, Message: Yea	
[10/7/25 06:59AM] Sender: Gudekompleks, Message: All the collector items have charges ye?	
[10/7/25 06:59AM] Sender: Hank, Message: No just the starter one	
[10/7/25 06:59AM] Sender: Gudekompleks, Message: Ah dope	
[10/7/25 07:09AM] Sender: Grand, Message: Ok cya guys..time to work	
[10/7/25 07:09AM] Sender: Gudekompleks, Message: Have fun bro	
[10/7/25 07:44AM] Sender: Hank, Message: Ahh	
[10/7/25 07:44AM] Sender: Gudekompleks, Message: Wait dissolving gives me invention exp	
[10/7/25 07:44AM] Sender: Gudekompleks, Message: Broooos this changes everything	
[10/7/25 07:45AM] Sender: History hawk, Message: Haha	
[10/7/25 07:45AM] Sender: Hank, Message: Lol	
[10/7/25 07:45AM] Sender: Gudekompleks, Message: When i tp with crystal key where tf do i arrive	
[10/7/25 07:45AM] Sender: Delicious, Message: Bank	
[10/7/25 07:46AM] Sender: Spoon, Message: In another area	
[10/7/25 07:46AM] Sender: Spoon, Message: And 2nd "home"	
[10/7/25 07:46AM] Sender: Gudekompleks, Message: Any tp that takes me here?	
[10/7/25 07:47AM] Sender: Spoon, Message: No just key	
[10/7/25 07:47AM] Sender: Gudekompleks, Message: Any way to mass-dissolve items?	
[10/7/25 07:47AM] Sender: Delicious, Message: Ctrl d	
[10/7/25 07:47AM] Sender: Gudekompleks, Message: Entire inv then?	
[10/7/25 07:47AM] Sender: Gudekompleks, Message: Or is that what im hovering	
[10/7/25 07:48AM] Sender: Delicious, Message: All inv	
[10/7/25 07:50AM] Sender: Delicious, Message: Fck missed it	
[10/7/25 07:50AM] Sender: Delicious, Message: Anymore globals?	
[10/7/25 07:50AM] Sender: History hawk, Message: ::dk	
[10/7/25 07:50AM] Sender: History hawk, Message: Spoon come to ::dk	
[10/7/25 08:00AM] Sender: Delicious, Message: Dk up again	
[10/7/25 08:00AM] Sender: History hawk, Message: Need to work on slayer for a bit	
[10/7/25 08:03AM] Sender: Gudekompleks, Message: You just grinding easy tasks?	
[10/7/25 08:04AM] Sender: History hawk, Message: Yeah need to do 5 before i can move on	
[10/7/25 08:06AM] Sender: History hawk, Message: Slayer ring teles you to slayer task	
[10/7/25 08:07AM] Sender: Gudekompleks, Message: Bueno!	
[10/7/25 08:17AM] Sender: Spoon, Message: Ty	
[10/7/25 08:17AM] Sender: Delicious, Message: Whats that? 	
[10/7/25 08:17AM] Sender: Gudekompleks, Message: God bless it	
[10/7/25 08:17AM] Sender: Hank, Message: Yw :)	
[10/7/25 08:17AM] Sender: Gudekompleks, Message: Like a slayer ring... but infinite!	
[10/7/25 08:18AM] Sender: Delicious, Message: Oh sweet	
[10/7/25 08:18AM] Sender: Gudekompleks, Message: Hank is there some sort of aggro potion on here?	
[10/7/25 08:19AM] Sender: Hank, Message: No	
[10/7/25 08:19AM] Sender: Spoon, Message: Agro pots with inf prayer jsut make a server afk	
[10/7/25 08:19AM] Sender: Hank, Message: True	
[10/7/25 08:19AM] Sender: Gudekompleks, Message: Is there inf prayer on here?	
[10/7/25 08:19AM] Sender: Spoon, Message: Yes	
[10/7/25 08:20AM] Sender: Hank, Message: Yes some items has the inf bouns 	
[10/7/25 08:20AM] Sender: Gudekompleks, Message: Inf prayer bonus? dope	
[10/7/25 08:23AM] Sender: Gudekompleks, Message: How did you get more of the packs deliciousness	
[10/7/25 08:23AM] Sender: Delicious, Message: Didnt open mine yet :p	
[10/7/25 08:25AM] Sender: Gudekompleks, Message: Oh shit you got 4!	
[10/7/25 08:28AM] Sender: History hawk, Message: The red altar	
[10/7/25 08:28AM] Sender: Spoon, Message: Woo 99 slayer	
[10/7/25 08:30AM] Sender: History hawk, Message: Nice	
[10/7/25 08:31AM] Sender: Spoon, Message: Gotta walk dog then raids time!	
[10/7/25 08:41AM] Sender: Gudekompleks, Message: Hank lemme see that in my inventory real quick	
[10/7/25 08:41AM] Sender: Hank, Message: What?	
[10/7/25 08:41AM] Sender: Gudekompleks, Message: The platinum key ahhahahah	
[10/7/25 08:41AM] Sender: Gudekompleks, Message: I was joking	
[10/7/25 08:42AM] Sender: Hank, Message: Platinum donors geet key every hour	
[10/7/25 08:44AM] Sender: Hank, Message: Ill brb in like   30 min	
[10/7/25 08:45AM] Sender: Hank, Message: Pm on discord if somthing happens	
[10/7/25 08:55AM] Sender: Gudekompleks, Message: How do i acquire an aura	
[10/7/25 09:14AM] Sender: Gudekompleks, Message: How tf i buy from item exchange	
[10/7/25 09:18AM] Sender: Delicious, Message: Think u sell stuff there	
[10/7/25 09:18AM] Sender: Delicious, Message: U can only buy items from merchant	
[10/7/25 09:18AM] Sender: Gudekompleks, Message: Aaah fack	
[10/7/25 10:07AM] Sender: Delicious, Message: Will globals be lowered down in hp?	
[10/7/25 10:07AM] Sender: Hank, Message: No for reason on when more ppl online they will die fast	
[10/7/25 10:08AM] Sender: Gudekompleks, Message: Can it not be made scalable with server population?	
[10/7/25 10:08AM] Sender: Gudekompleks, Message: More on = more hp	
[10/7/25 10:08AM] Sender: Hank, Message: I will be making the drops better tho	
[10/7/25 10:08AM] Sender: Hank, Message: Same as bosses drops will be better in the near updates	
[10/7/25 10:09AM] Sender: Gudekompleks, Message: Is there an item tier list somewhere	
[10/7/25 10:09AM] Sender: Gudekompleks, Message: Or a place to search them to compare	
[10/7/25 10:09AM] Sender: Hank, Message: Yes	
[10/7/25 10:10AM] Sender: Hank, Message: Click on the red tab in the quest tab and look at item stats	
[10/7/25 10:10AM] Sender: Gudekompleks, Message: Oooh perfect ty	
[10/7/25 10:10AM] Sender: Hank, Message: Np	
[10/7/25 10:11AM] Sender: Gudekompleks, Message: Btw, i thought the 2x kc pet was gonna count for slayer	
[10/7/25 10:11AM] Sender: Gudekompleks, Message: Is it meant to? or what does it do then?	
[10/7/25 10:14AM] Sender: Hank, Message: No just for mobs and i think boss points 	
[10/7/25 10:14AM] Sender: Gudekompleks, Message: Is there a way to block slayer tasks?	
[10/7/25 10:15AM] Sender: Run, Message: Aye	
[10/7/25 10:15AM] Sender: Gudekompleks, Message: The droprates on these monsters is absolutely giga	
[10/7/25 10:15AM] Sender: Delicious, Message: Welcome	
[10/7/25 10:16AM] Sender: Gudekompleks, Message: 1/3k for any item hahahaha	
[10/7/25 10:16AM] Sender: Run, Message: Any ref codes btw?	
[10/7/25 10:16AM] Sender: Hank, Message: Walkchaos	
[10/7/25 10:24AM] Sender: Yeet, Message: Yoo	
[10/7/25 10:27AM] Sender: Gudekompleks, Message: What'd you update	
[10/7/25 10:28AM] Sender: Hank, Message: Adding event manager	
[10/7/25 10:28AM] Sender: Hank, Message: Rnak	
[10/7/25 10:28AM] Sender: Hank, Message: Rank	
[10/7/25 10:28AM] Sender: Run, Message: Does voting work?	
[10/7/25 10:28AM] Sender: Gudekompleks, Message: Noice	
[10/7/25 10:28AM] Sender: Hank, Message: Yes and no	
[10/7/25 10:29AM] Sender: Gudekompleks, Message: How do i get case keys?	
[10/7/25 10:29AM] Sender: Hank, Message: Ill have to give you the scrolls	
[10/7/25 10:29AM] Sender: Run, Message: O.o?	
[10/7/25 10:29AM] Sender: Run, Message: Confusion o.o	
[10/7/25 10:29AM] Sender: Hank, Message: Donor shop	
[10/7/25 10:29AM] Sender: Hank, Message: ::vote works	
[10/7/25 10:29AM] Sender: Hank, Message: But im working on ::claim	
[10/7/25 10:29AM] Sender: Run, Message: Oh bet bet 	
[10/7/25 10:38AM] Sender: Gudekompleks, Message: Wtf these whispering trees do	
[10/7/25 10:44AM] Sender: Hank, Message: At chest by shops	
[10/7/25 10:45AM] Sender: Crotone, Message: Hey mate	
[10/7/25 11:05AM] Sender: You, Message: Hank	
[10/7/25 11:05AM] Sender: You, Message: Hey	
[10/7/25 11:05AM] Sender: You, Message: How long till reset?:d	
[10/7/25 11:05AM] Sender: Delicious, Message: I heard there wont be a reset	
[10/7/25 11:05AM] Sender: You, Message: :o	
[10/7/25 11:05AM] Sender: Crotone, Message: Yo	
[10/7/25 11:06AM] Sender: You, Message: Command to claim votes?:p	
[10/7/25 11:09AM] Sender: Crotone, Message: I feel like not much has changed	
[10/7/25 11:09AM] Sender: Crotone, Message: What's actually new	
[10/7/25 11:14AM] Sender: Run, Message: The coll necklace fades? smh	
[10/7/25 11:15AM] Sender: Delicious, Message: Anyone wanna do few pc runs?	
[10/7/25 11:15AM] Sender: Crotone, Message: What's good about pc?	
[10/7/25 11:16AM] Sender: Delicious, Message: Its for starter tasks	
[10/7/25 11:16AM] Sender: Crotone, Message: Where's starter tasks?	
[10/7/25 11:16AM] Sender: Crotone, Message: How do you claim votees	
[10/7/25 11:16AM] Sender: Delicious, Message: ::startertasks	
[10/7/25 11:17AM] Sender: Crotone, Message: It's just lunite with models changed sadly	
[10/7/25 11:17AM] Sender: Delicious, Message: Atleast something changed	
[10/7/25 11:18AM] Sender: Crotone, Message: Yeah, not for me	
[10/7/25 11:18AM] Sender: Crotone, Message: Good luck	
[10/7/25 11:20AM] Sender: Run, Message: How tf do we got those cards 	
[10/7/25 11:20AM] Sender: Run, Message: Cuz they are extremely amazing for starters 	
[10/7/25 11:20AM] Sender: Run, Message: Like they give a  mega boost	
[10/7/25 11:21AM] Sender: Delicious, Message: The card packs?	
[10/7/25 11:21AM] Sender: Run, Message: Yeah 	
[10/7/25 11:21AM] Sender: Delicious, Message: Hank gave out a few to everyone few hrs ago	
[10/7/25 11:21AM] Sender: Run, Message: .-.	
[10/7/25 11:21AM] Sender: Run, Message: Damn	
[10/7/25 11:21AM] Sender: Run, Message: Wheres my share smh 	
[10/7/25 11:38AM] Sender: Gudekompleks, Message: Hank you there bro	
[10/7/25 11:59AM] Sender: Thecyb, Message:  can we vote? 	
[10/7/25 12:03PM] Sender: Spoon, Message: Yes but no claim yet	
[10/7/25 12:04PM] Sender: Thecyb, Message:  and its not beta ? 	
[10/7/25 12:10PM] Sender: Spoon, Message: Nope this is alpha	
[10/7/25 12:10PM] Sender: Spoon, Message: We will be wiped and going into beta soon	
[10/7/25 12:15PM] Sender: Rsps vider, Message:  whats up hank	
[10/7/25 12:20PM] Sender: Gudekompleks, Message: What items give inf prayer other than cape?	
[10/7/25 12:54PM] Sender: Thecyb, Message: Tyty	
[10/7/25 12:54PM] Sender: Juggy, Message: Hm phases in starter	
[10/7/25 12:54PM] Sender: Hank, Message: 6	
[10/7/25 12:55PM] Sender: Gudekompleks, Message: Yo hank what do i do with pet fragments	
[10/7/25 12:55PM] Sender: Juggy, Message: Upg ur pet	
[10/7/25 12:55PM] Sender: Juggy, Message: Need 100 for first upg	
[10/7/25 12:55PM] Sender: Gudekompleks, Message: Where at?	
[10/7/25 12:55PM] Sender: Juggy, Message: Right click ur pet in ur inv	
[10/7/25 12:55PM] Sender: Hank, Message: Upgrade pets with them and pvm tickets	
[10/7/25 12:56PM] Sender: Gudekompleks, Message: No upgrade option when i rightclick	
[10/7/25 12:56PM] Sender: Gudekompleks, Message: On hellraiser pet	
[10/7/25 12:56PM] Sender: Juggy, Message: Damn just got a 1:2k drop at phase 6 lool	
[10/7/25 12:56PM] Sender: Thecyb, Message:  pickup ur pet	
[10/7/25 12:56PM] Sender: Juggy, Message: Its prob for only the starter pet 	
[10/7/25 12:56PM] Sender: Gudekompleks, Message: How tf you keep getting these quill packs babyyyy	
[10/7/25 01:03PM] Sender: Gudekompleks, Message: Yo hank	
[10/7/25 01:03PM] Sender: Gudekompleks, Message: What are enchanted herbs for	
[10/7/25 01:06PM] Sender: Hank, Message: For the blood quest	
[10/7/25 01:07PM] Sender: You, Message: I voted :d	
[10/7/25 01:13PM] Sender: Gudekompleks, Message: Hank my man, what do enchanted herbs do	
[10/7/25 01:13PM] Sender: Hank, Message: Its for the quest	
[10/7/25 01:13PM] Sender: Hank, Message: Blood runs deep	
[10/7/25 01:13PM] Sender: Gudekompleks, Message: Anywhere that i can see quests?	
[10/7/25 01:13PM] Sender: Gudekompleks, Message: I got them from daganoth kings	
[10/7/25 01:14PM] Sender: Hank, Message: Quest tab purple tab scroll down	
[10/7/25 01:14PM] Sender: Gudekompleks, Message: Oh so i skipped to the end by finding the daganoth kings	
[10/7/25 01:18PM] Sender: Ghijf, Message: Lol i just got shetani staff from vote box	
[10/7/25 01:23PM] Sender: Ghijf, Message: Any1 has runes in ther bank?	
[10/7/25 01:23PM] Sender: History hawk, Message: Nope	
[10/7/25 01:27PM] Sender: Hank, Message: Who wants to 1v1 me no gear 	
[10/7/25 01:27PM] Sender: Thecyb, Message:  help at ::dk xd	
[10/7/25 01:27PM] Sender: Thecyb, Message:  this shit is op 	
[10/7/25 01:30PM] Sender: Juggy, Message: The upgrades are rigged xd	
[10/7/25 01:31PM] Sender: Afk gh, Message:  ::dk guys	
[10/7/25 01:34PM] Sender: Thecyb, Message:  hank there donor zones?	
[10/7/25 01:34PM] Sender: Ghijf, Message: Yes ::commands	
[10/7/25 01:34PM] Sender: Ghijf, Message: Well thats what it says	
[10/7/25 01:34PM] Sender: Hank, Message: What rank are you	
[10/7/25 01:35PM] Sender: Ghijf, Message: My rank is veteran	
[10/7/25 01:35PM] Sender: Thecyb, Message:  eeerm 75 idk	
[10/7/25 01:35PM] Sender: Hank, Message: Donor rank nub	
[10/7/25 01:35PM] Sender: Ghijf, Message: I knw xd	
[10/7/25 01:35PM] Sender: Thecyb, Message:  xd emerald	
[10/7/25 01:35PM] Sender: Hank, Message: Do ::emerald	
[10/7/25 01:36PM] Sender: Thecyb, Message:  tyty	
[10/7/25 01:37PM] Sender: Ghijf, Message: Welcome	
[10/7/25 01:39PM] Sender: Juggy, Message: Need big help at hellraiser	
[10/7/25 01:44PM] Sender: Gudekompleks, Message: Night bois	
[10/7/25 01:44PM] Sender: Gudekompleks, Message: Ima catch u later	
[10/7/25 01:44PM] Sender: Hank, Message: Night	
[10/7/25 01:49PM] Sender: Hank, Message: Ban spoon	
[10/7/25 01:49PM] Sender: Spoon, Message: Lmao	
[10/7/25 01:49PM] Sender: Spoon, Message: Only 5k stats? :o	
[10/7/25 01:49PM] Sender: Ghijf, Message: Do we have instances i guess but i forgot	
[10/7/25 01:50PM] Sender: Ghijf, Message:  'only" do u want my f cape babe?	
[10/7/25 01:50PM] Sender: Thecyb, Message:  xddddddddddddd	
[10/7/25 01:50PM] Sender: Spoon, Message: Lol said that as owner cape is 30k and owner amulet is 5k	
[10/7/25 01:51PM] Sender: Hank, Message: 5k is a big jump when it comes to rings	
[10/7/25 01:51PM] Sender: Ghijf, Message: I need runes 	
[10/7/25 01:52PM] Sender: Ghijf, Message: Buying runes	
[10/7/25 01:52PM] Sender: Juggy, Message: Where we buy food and pots	
[10/7/25 01:52PM] Sender: Ghijf, Message:  ::shops	
[10/7/25 01:53PM] Sender: Ghijf, Message: Furyshark in shops idk pots	
[10/7/25 01:59PM] Sender: Juggy, Message: O sheet	
[10/7/25 02:00PM] Sender: Juggy, Message: Gl	
[10/7/25 02:18PM] Sender: Gummi, Message: First try :o	
[10/7/25 02:20PM] Sender: H8, Message: How do you upgrade items	
[10/7/25 02:20PM] Sender: Thecyb, Message:  ctrl u	
[10/7/25 02:20PM] Sender: H8, Message: Got it	
[10/7/25 02:20PM] Sender: Test, Message: Ctrl u	
[10/7/25 02:20PM] Sender: Ghijf, Message:  ctr u	
[10/7/25 02:22PM] Sender: H8, Message: No dzone?	
[10/7/25 02:22PM] Sender: Thecyb, Message:  ::emerald	
