[7/13/25 06:00PM]  [ Test ] Test used command ::donate | Player rights = PLAYER	
[7/16/25 03:25PM]  [ Test ] Test used command ::item 19119 | Player rights = OWNER	
[7/16/25 03:26PM]  [ Test ] Test used command ::find token | Player rights = OWNER	
[7/16/25 03:26PM]  [ Test ] Test used command ::item 7478 | Player rights = OWNER	
[7/16/25 03:27PM]  [ Test ] Test used command ::find ticket | Player rights = OWNER	
[7/16/25 03:27PM]  [ Test ] Test used command ::item 619 | Player rights = OWNER	
[7/16/25 03:27PM]  [ Test ] Test used command ::item 1464 | Player rights = OWNER	
[7/16/25 03:27PM]  [ Test ] Test used command ::item 2996 | Player rights = OWNER	
[7/16/25 08:32PM]  [ Test ] Test used command ::npc 10200 | Player rights = OWNER	
[7/17/25 05:03PM]  [ Test ] Test used command ::gamble | Player rights = OWNER	
[7/17/25 05:40PM]  [ Test ] Test used command ::Gamble | Player rights = OWNER	
[7/17/25 05:40PM]  [ Test ] Test used command ::Gamble | Player rights = OWNER	
[7/17/25 08:38PM]  [ Test ] Test used command ::find upgrade | Player rights = OWNER	
[7/17/25 08:38PM]  [ Test ] Test used command ::item 12855 100m | Player rights = OWNER	
[7/17/25 08:39PM]  [ Test ] Test used command ::empty | Player rights = OWNER	
[7/17/25 08:39PM]  [ Test ] Test used command ::item 12855 100m | Player rights = OWNER	
[7/17/25 08:52PM]  [ Test ] Test used command ::event | Player rights = OWNER	
[7/18/25 07:22AM]  [ Test ] Test used command ::item 12855 | Player rights = OWNER	
[7/18/25 07:22AM]  [ Test ] Test used command ::find card pack | Player rights = OWNER	
[7/18/25 07:22AM]  [ Test ] Test used command ::item 23279 | Player rights = OWNER	
[7/18/25 07:23AM]  [ Test ] Test used command ::item 23279 10 | Player rights = OWNER	
[7/18/25 03:15PM]  [ Test ] Test used command ::item 23276 | Player rights = OWNER	
[7/18/25 03:15PM]  [ Test ] Test used command ::item 23276 10 | Player rights = OWNER	
[7/18/25 03:20PM]  [ Test ] Test used command ::object 12966 | Player rights = OWNER	
[7/18/25 03:45PM]  [ Test ] Test used command ::npc 3115 | Player rights = OWNER	
[7/18/25 03:46PM]  [ Test ] Test used command ::dk | Player rights = OWNER	
[7/18/25 03:47PM]  [ Test ] Test used command ::npc 1746 | Player rights = OWNER	
[7/18/25 03:48PM]  [ Test ] Test used command ::npc 6326 | Player rights = OWNER	
[7/18/25 10:40PM]  [ Test ] Test used command ::MYPOS | Player rights = OWNER	
[7/18/25 10:40PM]  [ Test ] Test used command ::MYPOS | Player rights = OWNER	
[7/19/25 08:09AM]  [ Test ] Test used command ::Varrock | Player rights = OWNER	
[7/19/25 08:09AM]  [ Test ] Test used command ::edge | Player rights = OWNER	
[7/19/25 08:10AM]  [ Test ] Test used command ::tele 3191 9826 | Player rights = OWNER	
[7/19/25 08:11AM]  [ Test ] Test used command ::tele 3214 3424 | Player rights = OWNER	
[7/19/25 08:42AM]  [ Test ] Test used command ::mypos | Player rights = OWNER	
[7/19/25 08:44AM]  [ Test ] Test used command ::::coords | Player rights = OWNER	
[7/19/25 08:44AM]  [ Test ] Test used command ::mypos | Player rights = OWNER	
[7/19/25 08:52AM]  [ Test ] Test used command ::MYPOS | Player rights = OWNER	
[7/19/25 09:06AM]  [ Test ] Test used command ::FIND DIMINISHED KEY | Player rights = OWNER	
[7/19/25 09:06AM]  [ Test ] Test used command ::ITEM 10830 500K | Player rights = OWNER	
[7/19/25 09:32AM]  [ Test ] Test used command ::NPC 9127 | Player rights = OWNER	
[7/19/25 10:20AM]  [ Test ] Test used command ::mypos | Player rights = OWNER	
[7/19/25 10:20AM]  [ Test ] Test used command ::mypos | Player rights = OWNER	
[7/19/25 10:29AM]  [ Test ] Test used command ::mypos | Player rights = OWNER	
[7/19/25 10:31AM]  [ Test ] Test used command ::bank | Player rights = OWNER	
[7/19/25 10:31AM]  [ Test ] Test used command ::find rancid flower | Player rights = OWNER	
[7/19/25 10:31AM]  [ Test ] Test used command ::find rancid flour | Player rights = OWNER	
[7/19/25 10:32AM]  [ Test ] Test used command ::noclip | Player rights = OWNER	
[7/19/25 10:32AM]  [ Test ] Test used command ::mypos | Player rights = OWNER	
[7/19/25 10:32AM]  [ Test ] Test used command ::mypos | Player rights = OWNER	
[7/19/25 03:01PM]  [ Test ] Test used command ::noclip | Player rights = OWNER	
[7/19/25 03:01PM]  [ Test ] Test used command ::mypos | Player rights = OWNER	
[7/19/25 04:54PM]  [ Test ] Test used command ::empty | Player rights = OWNER	
[7/19/25 04:54PM]  [ Test ] Test used command ::bank | Player rights = OWNER	
[7/19/25 04:54PM]  [ Test ] Test used command ::find diminished | Player rights = OWNER	
[7/19/25 04:54PM]  [ Test ] Test used command ::item 10793 | Player rights = OWNER	
[7/19/25 04:54PM]  [ Test ] Test used command ::item 10795 | Player rights = OWNER	
[7/19/25 04:54PM]  [ Test ] Test used command ::item 10823 | Player rights = OWNER	
[7/19/25 04:54PM]  [ Test ] Test used command ::item 10824 | Player rights = OWNER	
[7/19/25 04:55PM]  [ Test ] Test used command ::item 10825 | Player rights = OWNER	
[7/19/25 04:55PM]  [ Test ] Test used command ::item 10826 | Player rights = OWNER	
[7/19/25 04:55PM]  [ Test ] Test used command ::item 10827 | Player rights = OWNER	
[7/19/25 04:55PM]  [ Test ] Test used command ::item 10828 | Player rights = OWNER	
[7/19/25 04:55PM]  [ Test ] Test used command ::item 10829 | Player rights = OWNER	
[7/19/25 04:55PM]  [ Test ] Test used command ::item 10830 | Player rights = OWNER	
[7/19/25 04:55PM]  [ Test ] Test used command ::item 14434 | Player rights = OWNER	
[7/19/25 04:55PM]  [ Test ] Test used command ::bank | Player rights = OWNER	
[7/19/25 04:55PM]  [ Test ] Test used command ::find scythe | Player rights = OWNER	
[7/19/25 04:55PM]  [ Test ] Test used command ::item 22115 | Player rights = OWNER	
[7/19/25 04:55PM]  [ Test ] Test used command ::ite 23132 | Player rights = OWNER	
[7/19/25 04:56PM]  [ Test ] Test used command ::item 8136 | Player rights = OWNER	
[7/19/25 05:31PM]  [ Test ] Test used command ::object 42123 | Player rights = OWNER	
[7/19/25 05:31PM]  [ Test ] Test used command ::object 11394 | Player rights = OWNER	
[7/19/25 05:32PM]  [ Test ] Test used command ::find leaves | Player rights = OWNER	
[7/19/25 05:32PM]  [ Test ] Test used command ::item 6024 | Player rights = OWNER	
[7/19/25 05:32PM]  [ Test ] Test used command ::item 6025 | Player rights = OWNER	
[7/19/25 05:32PM]  [ Test ] Test used command ::item 19840 | Player rights = OWNER	
[7/19/25 05:37PM]  [ Test ] Test used command ::object 11922 | Player rights = OWNER	
[7/19/25 05:41PM]  [ Test ] Test used command ::bank | Player rights = OWNER	
[7/19/25 06:32PM]  [ Test ] Test used command ::noclip | Player rights = OWNER	
[7/19/25 10:29PM]  [ Test ] Test used command ::bank | Player rights = OWNER	
[7/19/25 10:31PM]  [ Test ] Test used command ::find rare bark | Player rights = OWNER	
[7/19/25 10:31PM]  [ Test ] Test used command ::find bark | Player rights = OWNER	
[7/19/25 10:31PM]  [ Test ] Test used command ::item 8977 | Player rights = OWNER	
[7/19/25 10:31PM]  [ Test ] Test used command ::item 8978 | Player rights = OWNER	
[7/19/25 10:31PM]  [ Test ] Test used command ::bank | Player rights = OWNER	
[7/19/25 10:32PM]  [ Test ] Test used command ::find tea | Player rights = OWNER	
[7/19/25 10:32PM]  [ Test ] Test used command ::find tea  | Player rights = OWNER	
[7/19/25 10:32PM]  [ Test ] Test used command ::item 7723 | Player rights = OWNER	
[7/19/25 10:32PM]  [ Test ] Test used command ::item 7710 | Player rights = OWNER	
[7/19/25 10:32PM]  [ Test ] Test used command ::find tea | Player rights = OWNER	
[7/19/25 10:33PM]  [ Test ] Test used command ::item 7700 | Player rights = OWNER	
[7/19/25 10:33PM]  [ Test ] Test used command ::bank | Player rights = OWNER	
[7/19/25 10:38PM]  [ Test ] Test used command ::bank | Player rights = OWNER	
[7/19/25 10:39PM]  [ Test ] Test used command ::bank | Player rights = OWNER	
[7/19/25 10:39PM]  [ Test ] Test used command ::bank | Player rights = OWNER	
[7/19/25 10:40PM]  [ Test ] Test used command ::item 19841 | Player rights = OWNER	
[7/19/25 10:40PM]  [ Test ] Test used command ::bank | Player rights = OWNER	
[7/19/25 10:40PM]  [ Test ] Test used command ::find shaving | Player rights = OWNER	
[7/19/25 10:40PM]  [ Test ] Test used command ::item 8045 | Player rights = OWNER	
[7/19/25 10:41PM]  [ Test ] Test used command ::bank | Player rights = OWNER	
[7/19/25 10:46PM]  [ Test ] Test used command ::bank | Player rights = OWNER	
[7/19/25 10:46PM]  [ Test ] Test used command ::anim 2255 | Player rights = OWNER	
[7/19/25 10:47PM]  [ Test ] Test used command ::anim 2255 | Player rights = OWNER	
[7/19/25 10:48PM]  [ Test ] Test used command ::anim 1320 | Player rights = OWNER	
[7/19/25 10:56PM]  [ Test ] Test used command ::anim 11788 | Player rights = OWNER	
[7/19/25 10:57PM]  [ Test ] Test used command ::anim 11787 | Player rights = OWNER	
[7/19/25 10:57PM]  [ Test ] Test used command ::anim 827 | Player rights = OWNER	
[7/19/25 10:57PM]  [ Test ] Test used command ::anim 1358 | Player rights = OWNER	
[7/19/25 10:57PM]  [ Test ] Test used command ::anim 1613 | Player rights = OWNER	
[7/19/25 10:57PM]  [ Test ] Test used command ::anim 4113 | Player rights = OWNER	
[7/19/25 10:57PM]  [ Test ] Test used command ::anim 11786 | Player rights = OWNER	
[7/19/25 10:58PM]  [ Test ] Test used command ::bank | Player rights = OWNER	
[7/20/25 07:39AM]  [ Test ] Test used command ::mypos | Player rights = OWNER	
[7/20/25 07:54AM]  [ Test ] Test used command ::anim 4113 | Player rights = OWNER	
[7/20/25 07:54AM]  [ Test ] Test used command ::"anim 825 | Player rights = OWNER	
[7/20/25 07:55AM]  [ Test ] Test used command ::anim 8225 | Player rights = OWNER	
[7/20/25 07:55AM]  [ Test ] Test used command ::anim 825 | Player rights = OWNER	
[7/20/25 07:55AM]  [ Test ] Test used command ::anim 888 | Player rights = OWNER	
[7/20/25 07:55AM]  [ Test ] Test used command ::anim 1131 | Player rights = OWNER	
[7/20/25 07:55AM]  [ Test ] Test used command ::anim 1130 | Player rights = OWNER	
[7/20/25 07:55AM]  [ Test ] Test used command ::anim 1689 | Player rights = OWNER	
[7/20/25 07:55AM]  [ Test ] Test used command ::anim 2092 | Player rights = OWNER	
[7/20/25 07:55AM]  [ Test ] Test used command ::anim 2100 | Player rights = OWNER	
[7/20/25 07:55AM]  [ Test ] Test used command ::anim 827 | Player rights = OWNER	
[7/20/25 07:55AM]  [ Test ] Test used command ::anim -1 | Player rights = OWNER	
[7/20/25 07:57AM]  [ Test ] Test used command ::afk | Player rights = OWNER	
[7/20/25 07:58AM]  [ Test ] Test used command ::noclip | Player rights = OWNER	
[7/20/25 07:58AM]  [ Test ] Test used command ::mypos | Player rights = OWNER	
[7/20/25 03:56PM]  [ Test ] Test used command ::bank | Player rights = OWNER	
[7/20/25 03:59PM]  [ Test ] Test used command ::God | Player rights = OWNER	
[7/20/25 04:02PM]  [ Test ] Test used command ::find honey | Player rights = OWNER	
[7/20/25 04:02PM]  [ Test ] Test used command ::item 416 | Player rights = OWNER	
[7/20/25 04:03PM]  [ Test ] Test used command ::item 12156 | Player rights = OWNER	
[7/20/25 04:03PM]  [ Test ] Test used command ::item 13573 | Player rights = OWNER	
[7/20/25 04:03PM]  [ Test ] Test used command ::find wax | Player rights = OWNER	
[7/20/25 04:03PM]  [ Test ] Test used command ::item 30 | Player rights = OWNER	
[7/20/25 04:03PM]  [ Test ] Test used command ::item 4085 | Player rights = OWNER	
[7/20/25 04:05PM]  [ Test ] Test used command ::anim 11542 | Player rights = OWNER	
[7/20/25 04:05PM]  [ Test ] Test used command ::gfx 2037 | Player rights = OWNER	
[7/20/25 04:05PM]  [ Test ] Test used command ::gfx 2037 | Player rights = OWNER	
[7/20/25 04:06PM]  [ Test ] Test used command ::bank | Player rights = OWNER	
[7/20/25 04:15PM]  [ Test ] Test used command ::bank | Player rights = OWNER	
[7/20/25 04:19PM]  [ Test ] Test used command ::bank | Player rights = OWNER	
[7/20/25 04:21PM]  [ Test ] Test used command ::gfx 1425 | Player rights = OWNER	
[7/20/25 04:21PM]  [ Test ] Test used command ::gfx 1425 | Player rights = OWNER	
[7/20/25 04:21PM]  [ Test ] Test used command ::gfx 1425 | Player rights = OWNER	
[7/20/25 04:21PM]  [ Test ] Test used command ::Gfx 1482 | Player rights = OWNER	
[7/20/25 04:21PM]  [ Test ] Test used command ::gfx 198 | Player rights = OWNER	
[7/20/25 04:25PM]  [ Test ] Test used command ::anim 7660 | Player rights = OWNER	
[7/20/25 04:25PM]  [ Test ] Test used command ::Gfx 1447 | Player rights = OWNER	
[7/20/25 04:25PM]  [ Test ] Test used command ::Gfx 1447 | Player rights = OWNER	
[7/20/25 04:25PM]  [ Test ] Test used command ::gfx 198 | Player rights = OWNER	
[7/20/25 04:25PM]  [ Test ] Test used command ::Gfx 13 | Player rights = OWNER	
[7/20/25 04:25PM]  [ Test ] Test used command ::gfx 184 | Player rights = OWNER	
[7/20/25 04:25PM]  [ Test ] Test used command ::gfx 184 | Player rights = OWNER	
[7/20/25 04:25PM]  [ Test ] Test used command ::Gfx 811 | Player rights = OWNER	
[7/20/25 04:25PM]  [ Test ] Test used command ::anim 811 | Player rights = OWNER	
[7/20/25 04:25PM]  [ Test ] Test used command ::anim 184 | Player rights = OWNER	
[7/20/25 04:25PM]  [ Test ] Test used command ::gfx 184 | Player rights = OWNER	
[7/20/25 04:26PM]  [ Test ] Test used command ::anim 363 | Player rights = OWNER	
[7/20/25 04:26PM]  [ Test ] Test used command ::anim 363 | Player rights = OWNER	
[7/20/25 04:26PM]  [ Test ] Test used command ::anim 7660 | Player rights = OWNER	
[7/20/25 04:27PM]  [ Test ] Test used command ::Gfx 1482 | Player rights = OWNER	
[7/20/25 04:27PM]  [ Test ] Test used command ::gfx 1425 | Player rights = OWNER	
[7/20/25 04:27PM]  [ Test ] Test used command ::Gfx 198 | Player rights = OWNER	
[7/20/25 04:32PM]  [ Test ] Test used command ::anim 7760 | Player rights = OWNER	
[7/20/25 04:32PM]  [ Test ] Test used command ::anim 7670 | Player rights = OWNER	
[7/20/25 04:32PM]  [ Test ] Test used command ::anim 363 | Player rights = OWNER	
[7/20/25 04:33PM]  [ Test ] Test used command ::anim 1447 | Player rights = OWNER	
[7/20/25 04:33PM]  [ Test ] Test used command ::anim 7660 | Player rights = OWNER	
[7/20/25 04:33PM]  [ Test ] Test used command ::anim 7660 | Player rights = OWNER	
[7/20/25 04:39PM]  [ Test ] Test used command ::anim 4113 | Player rights = OWNER	
[7/20/25 04:40PM]  [ Test ] Test used command ::anim 811 | Player rights = OWNER	
[7/20/25 04:40PM]  [ Test ] Test used command ::anim 2109 | Player rights = OWNER	
[7/20/25 04:40PM]  [ Test ] Test used command ::anim 645 | Player rights = OWNER	
[7/20/25 04:40PM]  [ Test ] Test used command ::anim 3685 | Player rights = OWNER	
[7/20/25 04:40PM]  [ Test ] Test used command ::anim 13486 | Player rights = OWNER	
[7/20/25 04:40PM]  [ Test ] Test used command ::anim 5849 | Player rights = OWNER	
[7/20/25 04:40PM]  [ Test ] Test used command ::anim 2107 | Player rights = OWNER	
[7/20/25 04:41PM]  [ Test ] Test used command ::anim 800 | Player rights = OWNER	
[7/20/25 04:41PM]  [ Test ] Test used command ::anim 802 | Player rights = OWNER	
[7/20/25 04:41PM]  [ Test ] Test used command ::anim 799 | Player rights = OWNER	
[7/20/25 04:41PM]  [ Test ] Test used command ::anim 802 | Player rights = OWNER	
[7/20/25 04:41PM]  [ Test ] Test used command ::anim 800 | Player rights = OWNER	
[7/20/25 04:46PM]  [ Test ] Test used command ::Gfx 199 | Player rights = OWNER	
[7/20/25 04:46PM]  [ Test ] Test used command ::Gfx 199 | Player rights = OWNER	
[7/20/25 04:46PM]  [ Test ] Test used command ::Gfx 184 | Player rights = OWNER	
[7/20/25 04:46PM]  [ Test ] Test used command ::gfx 1425 | Player rights = OWNER	
[7/20/25 04:46PM]  [ Test ] Test used command ::gfx 198 | Player rights = OWNER	
[7/20/25 04:46PM]  [ Test ] Test used command ::Gfx 1447 | Player rights = OWNER	
[7/20/25 04:47PM]  [ Test ] Test used command ::gfx 200 | Player rights = OWNER	
[7/20/25 04:47PM]  [ Test ] Test used command ::::gfx 86 | Player rights = OWNER	
[7/20/25 04:47PM]  [ Test ] Test used command ::gfx 86 | Player rights = OWNER	
[7/20/25 04:47PM]  [ Test ] Test used command ::Gfx 111 | Player rights = OWNER	
[7/20/25 04:47PM]  [ Test ] Test used command ::Gfx 168 | Player rights = OWNER	
[7/20/25 04:47PM]  [ Test ] Test used command ::gfx 141 | Player rights = OWNER	
[7/20/25 04:47PM]  [ Test ] Test used command ::Gfx 678 | Player rights = OWNER	
[7/20/25 04:47PM]  [ Test ] Test used command ::gfxx 92 | Player rights = OWNER	
[7/20/25 04:47PM]  [ Test ] Test used command ::Gfx 238 | Player rights = OWNER	
[7/20/25 04:47PM]  [ Test ] Test used command ::gfx 111 | Player rights = OWNER	
[7/20/25 04:47PM]  [ Test ] Test used command ::Gfx 1911 | Player rights = OWNER	
[7/20/25 04:47PM]  [ Test ] Test used command ::Gfx 2002 | Player rights = OWNER	
[7/20/25 04:47PM]  [ Test ] Test used command ::Gfx 8004 | Player rights = OWNER	
[7/20/25 04:48PM]  [ Test ] Test used command ::gfx 574 | Player rights = OWNER	
[7/20/25 04:48PM]  [ Test ] Test used command ::Gfx 277 | Player rights = OWNER	
[7/20/25 04:48PM]  [ Test ] Test used command ::gfx 436 | Player rights = OWNER	
[7/20/25 05:06PM]  [ Test ] Test used command ::Gfx 184 | Player rights = OWNER	
[7/20/25 05:06PM]  [ Test ] Test used command ::gfx 800 | Player rights = OWNER	
[7/20/25 05:06PM]  [ Test ] Test used command ::gfx 799 | Player rights = OWNER	
[7/20/25 05:06PM]  [ Test ] Test used command ::gfx 801 | Player rights = OWNER	
[7/20/25 05:06PM]  [ Test ] Test used command ::Gfx 809 | Player rights = OWNER	
[7/20/25 05:07PM]  [ Test ] Test used command ::Gfx 893 | Player rights = OWNER	
[7/20/25 05:07PM]  [ Test ] Test used command ::Gfx 872 | Player rights = OWNER	
[7/20/25 05:07PM]  [ Test ] Test used command ::Gfx 802 | Player rights = OWNER	
[7/20/25 05:07PM]  [ Test ] Test used command ::Gfx 803 | Player rights = OWNER	
[7/20/25 05:07PM]  [ Test ] Test used command ::Gfx 805 | Player rights = OWNER	
[7/20/25 05:07PM]  [ Test ] Test used command ::Gfx 999 | Player rights = OWNER	
[7/20/25 05:07PM]  [ Test ] Test used command ::Gfx 122 | Player rights = OWNER	
[7/20/25 05:07PM]  [ Test ] Test used command ::gfx 188 | Player rights = OWNER	
[7/20/25 05:07PM]  [ Test ] Test used command ::gfx 182 | Player rights = OWNER	
[7/20/25 05:07PM]  [ Test ] Test used command ::gfx 171 | Player rights = OWNER	
[7/20/25 05:07PM]  [ Test ] Test used command ::gfx 194 | Player rights = OWNER	
[7/20/25 05:07PM]  [ Test ] Test used command ::gfx 202 | Player rights = OWNER	
[7/20/25 05:07PM]  [ Test ] Test used command ::gfx 222 | Player rights = OWNER	
[7/20/25 05:07PM]  [ Test ] Test used command ::gfx 223 | Player rights = OWNER	
[7/20/25 05:07PM]  [ Test ] Test used command ::gfx 229 | Player rights = OWNER	
[7/20/25 05:07PM]  [ Test ] Test used command ::gfx 299 | Player rights = OWNER	
[7/20/25 05:07PM]  [ Test ] Test used command ::gfx 1190 | Player rights = OWNER	
[7/20/25 05:07PM]  [ Test ] Test used command ::gfx 849 | Player rights = OWNER	
[7/20/25 05:07PM]  [ Test ] Test used command ::gfx 850 | Player rights = OWNER	
[7/20/25 05:07PM]  [ Test ] Test used command ::gfx 850 | Player rights = OWNER	
[7/20/25 05:07PM]  [ Test ] Test used command ::gfx 888 | Player rights = OWNER	
[7/20/25 05:08PM]  [ Test ] Test used command ::gfx 890 | Player rights = OWNER	
[7/20/25 05:08PM]  [ Test ] Test used command ::Gfx 899 | Player rights = OWNER	
[7/20/25 05:08PM]  [ Test ] Test used command ::gfx 905 | Player rights = OWNER	
[7/20/25 05:08PM]  [ Test ] Test used command ::gfx 909 | Player rights = OWNER	
[7/20/25 05:08PM]  [ Test ] Test used command ::Gfx 910 | Player rights = OWNER	
[7/20/25 05:08PM]  [ Test ] Test used command ::gfx 910 | Player rights = OWNER	
[7/20/25 05:14PM]  [ Test ] Test used command ::gfx 2111 | Player rights = OWNER	
[7/20/25 05:14PM]  [ Test ] Test used command ::gfx 2111 | Player rights = OWNER	
[7/20/25 05:14PM]  [ Test ] Test used command ::Gfx 2199 | Player rights = OWNER	
[7/20/25 05:14PM]  [ Test ] Test used command ::Gfx 2101 | Player rights = OWNER	
[7/20/25 05:14PM]  [ Test ] Test used command ::Gfx 2110 | Player rights = OWNER	
[7/20/25 05:14PM]  [ Test ] Test used command ::Gfx 2112 | Player rights = OWNER	
[7/20/25 05:14PM]  [ Test ] Test used command ::gfx 1900 | Player rights = OWNER	
[7/20/25 05:14PM]  [ Test ] Test used command ::Gfx 1911 | Player rights = OWNER	
[7/20/25 05:14PM]  [ Test ] Test used command ::Gfx 1912 | Player rights = OWNER	
[7/20/25 05:14PM]  [ Test ] Test used command ::gfx 1665 | Player rights = OWNER	
[7/20/25 05:14PM]  [ Test ] Test used command ::Gfx 10 | Player rights = OWNER	
[7/20/25 05:14PM]  [ Test ] Test used command ::Gfx 100 | Player rights = OWNER	
[7/20/25 05:14PM]  [ Test ] Test used command ::Gfx 1001 | Player rights = OWNER	
[7/20/25 05:14PM]  [ Test ] Test used command ::Gfx 1002 | Player rights = OWNER	
[7/20/25 05:14PM]  [ Test ] Test used command ::Gfx 1002 | Player rights = OWNER	
[7/20/25 05:14PM]  [ Test ] Test used command ::gfx 1003 | Player rights = OWNER	
[7/20/25 05:15PM]  [ Test ] Test used command ::gfx 1004 | Player rights = OWNER	
[7/20/25 05:15PM]  [ Test ] Test used command ::gfx 1005 | Player rights = OWNER	
[7/20/25 05:15PM]  [ Test ] Test used command ::gfx 1006 | Player rights = OWNER	
[7/20/25 05:15PM]  [ Test ] Test used command ::Gfx 1007 | Player rights = OWNER	
[7/20/25 05:15PM]  [ Test ] Test used command ::gfx 1008 | Player rights = OWNER	
[7/20/25 05:15PM]  [ Test ] Test used command ::gfx 1009 | Player rights = OWNER	
[7/20/25 05:15PM]  [ Test ] Test used command ::Gfx 1010 | Player rights = OWNER	
[7/20/25 05:15PM]  [ Test ] Test used command ::Gfx 1100 | Player rights = OWNER	
[7/20/25 05:15PM]  [ Test ] Test used command ::Gfx 1004 | Player rights = OWNER	
[7/20/25 05:15PM]  [ Test ] Test used command ::gfx 1002 | Player rights = OWNER	
[7/20/25 05:15PM]  [ Test ] Test used command ::gfx 105 | Player rights = OWNER	
[7/20/25 05:15PM]  [ Test ] Test used command ::gfx 1009 | Player rights = OWNER	
[7/20/25 05:15PM]  [ Test ] Test used command ::gfx 1010 | Player rights = OWNER	
[7/20/25 05:15PM]  [ Test ] Test used command ::gfx 1050 | Player rights = OWNER	
[7/20/25 05:15PM]  [ Test ] Test used command ::gfxf 1030 | Player rights = OWNER	
[7/20/25 05:16PM]  [ Test ] Test used command ::gfx 1045 | Player rights = OWNER	
[7/20/25 05:16PM]  [ Test ] Test used command ::Gfx 1090 | Player rights = OWNER	
[7/20/25 05:16PM]  [ Test ] Test used command ::Gfx 1050 | Player rights = OWNER	
[7/20/25 05:16PM]  [ Test ] Test used command ::gfx 1740 | Player rights = OWNER	
[7/20/25 05:16PM]  [ Test ] Test used command ::gfx 1741 | Player rights = OWNER	
[7/20/25 05:16PM]  [ Test ] Test used command ::Gfx 1740 | Player rights = OWNER	
[7/20/25 05:16PM]  [ Test ] Test used command ::gfx 1700 | Player rights = OWNER	
[7/20/25 05:16PM]  [ Test ] Test used command ::gfx 1940 | Player rights = OWNER	
[7/20/25 05:16PM]  [ Test ] Test used command ::gfx 1640 | Player rights = OWNER	
[7/20/25 05:16PM]  [ Test ] Test used command ::Gfx 141 | Player rights = OWNER	
[7/20/25 05:16PM]  [ Test ] Test used command ::gfx 145 | Player rights = OWNER	
[7/20/25 05:16PM]  [ Test ] Test used command ::Gfx 1311 | Player rights = OWNER	
[7/20/25 05:16PM]  [ Test ] Test used command ::Gfx 109 | Player rights = OWNER	
[7/20/25 05:16PM]  [ Test ] Test used command ::Gfx 19004 | Player rights = OWNER	
[7/20/25 05:16PM]  [ Test ] Test used command ::Gfx 195 | Player rights = OWNER	
[7/20/25 05:16PM]  [ Test ] Test used command ::gfx 12 | Player rights = OWNER	
[7/20/25 05:16PM]  [ Test ] Test used command ::Gfx 13 | Player rights = OWNER	
[7/20/25 05:16PM]  [ Test ] Test used command ::Gfx 199 | Player rights = OWNER	
