[10/5/25 12:08PM]  [ Test ] Item: Diminished Amulet, ID: 10829, Amount: 1	
[10/7/25 07:14PM]  [ Test ] Item: Collector Necklace III, ID: 18888, Amount: 1	
[10/7/25 07:14PM]  [ Test ] Item: Rage Cape, ID: 20591, Amount: 1	
[10/7/25 07:14PM]  [ Test ] Item: 100% DR Scroll (30 Min), ID: 15358, Amount: 1	
[10/7/25 07:14PM]  [ Test ] Item: Azure Casket, ID: 15003, Amount: 1	
[10/7/25 07:14PM]  [ Test ] Item: $5 Bond, ID: 6769, Amount: 1	
[10/7/25 07:14PM]  [ Test ] Item: 100% DR Scroll (30 Min), ID: 15358, Amount: 1	
[10/7/25 07:14PM]  [ Test ] Item: Starter Card Pack, ID: 23276, Amount: 1	
[10/7/25 07:14PM]  [ Test ] Item: Loot box, ID: 290, Amount: 1	
[10/7/25 07:14PM]  [ Test ] Item: Elite Sword (aoe), ID: 8410, Amount: 1	
[10/7/25 07:14PM]  [ Test ] Item: Ethereal case, ID: 23412, Amount: 1	
[10/7/25 07:14PM]  [ Test ] Item: PvM Box, ID: 7956, Amount: 1	
[10/7/25 07:14PM]  [ Test ] Item: Cash box, ID: 21221, Amount: 1	
[10/7/25 07:14PM]  [ Test ] Item: Legends legs, ID: 4686, Amount: 1	
[10/7/25 07:14PM]  [ Test ] Item: Verac's brassard, ID: 4757, Amount: 1	
[10/7/25 07:14PM]  [ Test ] Item: Verac's plateskirt, ID: 4759, Amount: 1	
[10/7/25 07:14PM]  [ Test ] Item: PvM Box, ID: 7956, Amount: 1	
[10/7/25 07:14PM]  [ Test ] Item: Raids Box, ID: 18404, Amount: 1	
[10/7/25 07:14PM]  [ Test ] Item: Ring of Gluttony, ID: 6737, Amount: 1	
[10/7/25 07:14PM]  [ Test ] Item: PvM Box (t2), ID: 22214, Amount: 1	
[10/7/25 07:14PM]  [ Test ] Item: Third-age platebody, ID: 10348, Amount: 1	
[10/7/25 07:14PM]  [ Test ] Item: PvM ticket pack (5k), ID: 23215, Amount: 1	
[10/7/25 07:14PM]  [ Test ] Item: Levincia tokens, ID: 12855, Amount: 1	
[10/7/25 07:14PM]  [ Test ] Item: Antique lamp, ID: 11137, Amount: 1	
[10/7/25 07:14PM]  [ Test ] Item: Antique lamp, ID: 11137, Amount: 19	
[10/7/25 07:14PM]  [ Test ] Item: Donator Aura, ID: 12630, Amount: 1	
[10/7/25 07:14PM]  [ Test ] Item: Upgrade Token pack (100k), ID: 15288, Amount: 2	
[10/7/25 07:14PM]  [ Test ] Item: Levincia tokens, ID: 12855, Amount: 20152	
[10/7/25 07:14PM]  [ Test ] Item: Legends helmet, ID: 4684, Amount: 1	
[10/7/25 07:14PM]  [ Test ] Item: 2X Damage Scroll (30 Min), ID: 15359, Amount: 1	
[10/7/25 07:14PM]  [ Test ] Item: Ruby Mystery Box, ID: 19114, Amount: 6	
[10/7/25 07:15PM]  [ Test ] Item: Demonic scythe, ID: 20549, Amount: 1	
[10/7/25 07:15PM]  [ Test ] Item: Shikruu full helm, ID: 8800, Amount: 1	
[10/7/25 07:15PM]  [ Test ] Item: 100% DR Scroll (30 Min), ID: 15358, Amount: 5	
[10/7/25 07:15PM]  [ Test ] Item: $1 Scroll, ID: 10946, Amount: 10	
[10/7/25 07:15PM]  [ Test ] Item: Sorrow chaps, ID: 8805, Amount: 1	
[10/7/25 07:15PM]  [ Test ] Item: Purifier Staff, ID: 8089, Amount: 1	
[10/7/25 07:15PM]  [ Test ] Item: Shikruu platelegs, ID: 8802, Amount: 1	
[10/7/25 07:15PM]  [ Test ] Item: 2X Damage Scroll (30 Min), ID: 15359, Amount: 5	
[10/7/25 07:15PM]  [ Test ] Item: Collector Ring III, ID: 18818, Amount: 1	
[10/7/25 07:15PM]  [ Test ] Item: Sagittarian range set, ID: 19582, Amount: 50	
[10/7/25 07:15PM]  [ Test ] Item: OP Box, ID: 20488, Amount: 50	
[10/7/25 07:15PM]  [ Test ] Item: Dagon'hai robes set, ID: 14525, Amount: 50	
[10/7/25 07:16PM]  [ Test ] Item: Collector necklace, ID: 19886, Amount: 1	
[10/7/25 07:16PM]  [ Test ] Item: Verac's helm, ID: 4754, Amount: 10	
[10/7/25 07:16PM]  [ Test ] Item: Torag's platebody, ID: 4750, Amount: 10	
[10/7/25 07:16PM]  [ Test ] Item: Torag's platelegs, ID: 4752, Amount: 10	
[10/7/25 07:16PM]  [ Test ] Item: Dagon'hai hat, ID: 14500, Amount: 10	
[10/7/25 07:16PM]  [ Test ] Item: Dagon'hai robe bottom, ID: 14502, Amount: 5	
[10/9/25 11:48PM]  [ Ghijf ] Item: Antique lamp, ID: 11137, Amount: 1	
[10/10/25 12:48PM]  [ Hank ] Item: $1 Scroll, ID: 10946, Amount: 1	
[10/10/25 12:49PM]  [ Hank ] Item: $1 Scroll, ID: 10946, Amount: 1	
[10/10/25 12:59PM]  [ Hank ] Item: Owner cape goodiebag, ID: 3578, Amount: 1	
[10/10/25 12:59PM]  [ Hank ] Item: Owner cape goodiebag, ID: 3578, Amount: 1	
[10/10/25 12:59PM]  [ Hank ] Item: Owner cape goodiebag, ID: 3578, Amount: 1	
[10/10/25 12:59PM]  [ Hank ] Item: Owner cape goodiebag, ID: 3578, Amount: 1	
[10/10/25 12:59PM]  [ Hank ] Item: Owner cape goodiebag, ID: 3578, Amount: 1	
[10/10/25 12:59PM]  [ Hank ] Item: Owner Potion, ID: 23242, Amount: 1	
[10/10/25 12:59PM]  [ Hank ] Item: Owner Attachment, ID: 22110, Amount: 1	
[10/10/25 12:59PM]  [ Hank ] Item: Owner Jewelry goodiebag, ID: 23240, Amount: 8	
[10/10/25 12:59PM]  [ Hank ] Item: Celestial's Card Pack, ID: 23278, Amount: 1	
[10/10/25 12:59PM]  [ Hank ] Item: Celestial's Card Pack, ID: 23278, Amount: 1	
[10/10/25 12:59PM]  [ Hank ] Item: Prestige box, ID: 23236, Amount: 8	
[10/10/25 12:59PM]  [ Hank ] Item: Avalon's Card Pack, ID: 23279, Amount: 1	
[10/10/25 12:59PM]  [ Hank ] Item: Quill's Card Pack, ID: 23277, Amount: 1	
[10/10/25 12:59PM]  [ Hank ] Item: Quill's Card Pack, ID: 23277, Amount: 1	
[10/10/25 12:59PM]  [ Hank ] Item: Avalon's Card Pack, ID: 23279, Amount: 1	
[10/10/25 12:59PM]  [ Hank ] Item: Fortune Chest, ID: 23002, Amount: 5	
[10/10/25 12:59PM]  [ Hank ] Item: Blood Twisted bow, ID: 23226, Amount: 1	
[10/10/25 12:59PM]  [ Hank ] Item: Gold Season Pass, ID: 23275, Amount: 1	
[10/13/25 07:46PM]  [ Hank ] Item: Celestial's Card Pack, ID: 23278, Amount: 3	
[10/13/25 07:46PM]  [ Hank ] Item: Quill's Card Pack, ID: 23277, Amount: 3	
[10/13/25 07:46PM]  [ Hank ] Item: Owner cape, ID: 7995, Amount: 1	
[10/13/25 07:46PM]  [ Hank ] Item: Sanguinesti Legends staff, ID: 17011, Amount: 1	
[10/13/25 07:46PM]  [ Hank ] Item: Blood Scythe of Vitur, ID: 8136, Amount: 1	
[10/13/25 07:46PM]  [ Hank ] Item: Donator Aura, ID: 12630, Amount: 1	
[10/13/25 07:46PM]  [ Hank ] Item: Sanguinesti Legends staff, ID: 17011, Amount: 1	
[10/13/25 07:46PM]  [ Hank ] Item: Donator Aura, ID: 12630, Amount: 1	
[10/13/25 07:46PM]  [ Hank ] Item: Owner Jewelry goodiebag, ID: 23240, Amount: 5	
[10/13/25 07:46PM]  [ Hank ] Item: Owner cape goodiebag, ID: 3578, Amount: 1	
[10/13/25 07:46PM]  [ Hank ] Item: Owner cape goodiebag, ID: 3578, Amount: 1	
[10/13/25 07:46PM]  [ Hank ] Item: Collector Necklace III, ID: 18888, Amount: 1	
[10/13/25 07:46PM]  [ Hank ] Item: Collector Ring III, ID: 18818, Amount: 1	
[10/13/25 07:46PM]  [ Hank ] Item: Owner cape goodiebag, ID: 3578, Amount: 1	
[10/13/25 07:46PM]  [ Hank ] Item: Owner cape goodiebag, ID: 3578, Amount: 1	
[10/13/25 07:46PM]  [ Hank ] Item: Owner cape goodiebag, ID: 3578, Amount: 1	
[10/13/25 07:46PM]  [ Hank ] Item: Collector Ring III, ID: 18818, Amount: 1	
[10/13/25 07:46PM]  [ Hank ] Item: Collector Necklace III, ID: 18888, Amount: 1	
[10/13/25 07:47PM]  [ Hank ] Item: Light Attachment, ID: 10949, Amount: 1	
[10/13/25 07:47PM]  [ Hank ] Item: Light Attachment, ID: 10949, Amount: 1	
[10/13/25 07:47PM]  [ Hank ] Item: OP Box, ID: 20488, Amount: 100	
